model,F,NRMSE_quantum_best,NRMSE_ESN_F,NRMSE_NGRC_ref,encode_scale,scaler,beats_ESN
qrc_v4,16,0.036510074408132184,0.040776775521464304,0.0013257003227374652,0.5,minmax,True
qrc_v6,24,0.07425408150349153,0.023049738680455144,0.0013257003227374652,3.0,minmax,False
qrc_rich,96,0.004618213471022153,0.010097765117158307,0.0013257003227374652,1.0,minmax,True
