k,degree,nrmse_mean,nrmse_std
2,1,0.02748407172409294,3.469446951953614e-18
2,2,0.02521014932489828,0.0
2,3,0.02247548463528572,0.0
3,1,0.01088505021842267,1.734723475976807e-18
3,2,0.009346739316074272,0.0
3,3,0.008263009764904666,0.0
5,1,0.002997518942827853,4.336808689942018e-19
5,2,0.0023964626078002327,0.0
5,3,0.0020058459292021918,0.0
8,1,0.0022126773330631497,0.0
8,2,0.0015456859550152895,2.168404344971009e-19
8,3,0.0011671235148387731,0.0
