delta,esn_nrmse,ngrc_best_nrmse,winner
0.02,0.0014279130298167915,0.00016961289243109897,NG-RC
0.05,0.017982588691604722,0.0012658075549665058,NG-RC
0.1,0.08897021609902739,0.03014847016968371,NG-RC
