k,degree,nrmse_mean,nrmse_std
2,1,0.12503659476437795,0.0
2,2,0.12517891541544007,0.0
2,3,0.033544144222739644,0.0
3,1,0.07458496832682927,0.0
3,2,0.07461038876675936,0.0
3,3,0.005108603113093332,0.0
5,1,0.04732569976304087,6.938893903907228e-18
5,2,0.0481481927299024,0.0
5,3,0.0014638867063359326,0.0
8,1,0.039322104205883925,0.0
8,2,0.04042430510034785,0.0
8,3,0.0012658075549665058,0.0
