model,vpt_lyap_median,vpt_lyap_min,vpt_lyap_max,diverged_count,n_seeds,spectral_mse_mean,wasserstein_mean,is_quantum
ELM+poly2,5.52416,5.52416,5.52416,0,10,0.4277371658409607,0.03745748978726608,False
ELM,5.38832,5.38832,5.38832,0,10,1.0434540388486175,0.07228774717082263,False
NG-RC,4.02992,4.02992,4.02992,0,10,0.5602092994787269,0.007805366468282948,False
qrc_rich,2.1508000000000003,1.1320000000000001,3.93936,0,10,0.8684030019595055,0.04626227177791715,True
ESN(F=96),2.1055200000000003,1.17728,3.21488,4,10,3.70731616083555,1.6661713868445371,False
qrc_v4,0.24904,0.13584000000000002,0.40752,10,10,25.43590230461871,16.054607541569002,True
ESN(F=24),0.20376,0.04528,1.17728,9,10,13.889826365582355,28.876243840423264,False
qrc_v6,0.20376,0.04528,0.49808,0,10,6.979701874779525,1.6630363145327365,True
ESN(F=16),0.04528,0.0,1.0867200000000001,9,10,13.085610416816968,26.75373042535035,False
