model,nrmse_mean,nrmse_std
NG-RC(best),0.0011671235148387731,0.0
NG-RC(d3),0.0011671235148387731,0.0
NG-RC(d2),0.0015456859550152895,2.168404344971009e-19
ELM+poly2,0.0015458297444321221,2.1090152101638484e-05
ELM,0.001721294344016069,1.9829982589327e-05
NG-RC(d1),0.0022126773330631497,0.0
Linear-Ridge,0.002997518943754464,0.0
ESN+poly2,0.0043965332241805285,0.00042996972159693687
ESN,0.006111284725303658,0.00046574537938904475
RandomForest,0.03349295852459715,0.00011529450663203839
