k,degree,nrmse_mean,nrmse_std
2,1,0.9282338962473645,0.0
2,2,3.177345184331369e-07,0.0
2,3,2.0843988138905003e-06,0.0
3,1,0.8813423511964915,0.0
3,2,3.014924066063553e-07,0.0
3,3,2.7830642022807987e-06,0.0
5,1,0.8568491535540362,0.0
5,2,7.68822397187929e-07,1.0587911840678754e-22
5,3,1.2424119078030581e-05,1.6940658945086007e-21
8,1,0.8431335003208403,1.1102230246251565e-16
8,2,9.499804578941825e-07,0.0
8,3,3.7129899596624674e-05,0.0
