model,nrmse_mean,nrmse_std
NG-RC(best),3.014924066063553e-07,0.0
NG-RC(d2),3.014924066063553e-07,0.0
NG-RC(d3),2.7830642022807987e-06,0.0
ELM+poly2,7.382224145529575e-05,2.596636384410643e-07
ELM,0.0001741655691224857,1.3057387907439899e-05
ESN+poly2,0.00525511546932982,0.00027686151284722486
ESN,0.006893783193843028,0.00015555774697636503
RandomForest,0.014607725509039453,9.37299223501277e-05
Linear-Ridge,0.8568491531257966,1.1102230246251565e-16
NG-RC(d1),0.8813423511964915,0.0
