model,vpt_lyap_mean,spectral_mse_mean,wasserstein_mean,diverged_runs
RandomForest,1.31312,0.4185305805282323,0.12217509817452761,0
ESN,0.7697599999999999,5.643601095141672,1.1934823801548295,1
ELM,0.7546666666666667,11.785778580236311,3.846437395775507,2
NG-RC(best),0.36224000000000006,inf,3.139093857717761e+232,3
