model,F,encode_scale,ngrc_k,ngrc_degree,NRMSE_agg_mean,NRMSE_agg_std,NRMSE_x,NRMSE_y,NRMSE_z
ELM+poly2,600,,,,3.400873465748668e-05,3.00601452313312e-06,9.612551595748368e-06,3.6886548759995004e-05,4.552965728179136e-05
ELM,300,,,,6.66106071266882e-05,5.964351491658016e-06,1.8949105976251904e-05,8.1417897322025e-05,8.265564779392995e-05
NG-RC,219,,3,3,0.0005763700252400878,0.0,5.698423457845633e-05,0.000664591796523416,0.0007634834176797868
qrc_rich,96,1.0,,,0.006664703779836349,0.0032775811675384015,0.0018975466414235503,0.011433989626077081,0.004582495096843271
ESN(F=96),96,,,,0.013277578528589842,0.0030102582492107124,0.0027726282435685617,0.016847998718022,0.016120061771827943
qrc_v4,16,0.5,,,0.05050551576048314,0.012442499970315388,0.014773213107093374,0.07182405510229656,0.053276487386575345
ESN(F=24),24,,,,0.07439118824428673,0.022053447321268845,0.01654315307341836,0.08572217852677058,0.09261675520102707
qrc_v6,24,1.0,,,0.1357354054967006,0.02008751369618305,0.08147541894642796,0.07544278185214345,0.19825428667939846
ESN(F=16),16,,,,0.13642340087878274,0.05960963324619456,0.029721673050026386,0.15720314933473362,0.16685928035814035
