pair,frac_sig_0.10,frac_sig_0.05,median_dm,dm_min,dm_max,median_p
qrc_rich vs ESN(F=96),1.0,1.0,-12.419860573059037,-14.47492396500554,-10.757551963708412,7.974135289811162e-29
qrc_rich vs NG-RC(k8d3),1.0,1.0,9.298911856867292,8.504107079334135,10.604453176355813,3.143182334074187e-18
qrc_v6 vs ESN(F=24),1.0,1.0,-8.751854147613518,-9.554973271469521,-3.3697887105197744,1.589220937348991e-16
