pair,frac_sig_0.10,frac_sig_0.05,median_dm,dm_min,dm_max,median_p
qrc_rich vs ESN(F=96),1.0,1.0,-10.866784521260302,-13.562356369706764,-9.845235656823984,2.1585552289437192e-23
qrc_rich vs NG-RC(k3d2),1.0,1.0,13.721735966131265,13.216134464830311,14.140676473080513,1.512124534465717e-33
qrc_v6 vs ESN(F=24),1.0,1.0,8.759578066936905,8.424450520819631,9.669478570535487,1.5049705218541577e-16
