system,encoding,n,J,S_mean,S_std,S_max_observed,S_max_possible,n_sampled
henon,depth,4,0.0,9.414085655175457e-13,3.4008017896000436e-12,2.0059536424099177e-11,2.0,200
henon,depth,4,1.0,1.7978311843160208,0.085261356304095,1.8568119982493057,2.0,200
henon,depth,6,0.0,9.414085655175457e-13,3.4008017896000436e-12,2.0059536424099177e-11,3.0,200
henon,depth,6,0.25,0.5854962054626514,0.02076042331689521,0.6676462960438487,3.0,200
henon,depth,6,0.5,1.3577775971664294,0.04586521354035932,1.5278887411824003,3.0,200
henon,depth,6,1.0,1.5569451621833919,0.07444498169304405,1.6394839283610922,3.0,200
henon,depth,6,2.0,1.7362870661703398,0.10872487804357156,1.91574838918025,3.0,200
henon,depth,6,4.0,0.604332969846359,0.12340251924050415,0.8034564539041841,3.0,200
henon,depth,8,0.0,1.030599967949687e-12,3.5111316263181926e-12,2.001052399859149e-11,4.0,200
henon,depth,8,1.0,1.0854994693019724,0.04475444914506739,1.266421257844913,4.0,200
henon,width,4,0.0,6.086510357248087e-17,2.7570673160123323e-15,9.289936861063231e-15,2.0,200
henon,width,4,1.0,0.6140338760328767,0.1091903126294482,1.0086763040484599,2.0,200
henon,width,6,0.0,7.528052283964601e-17,3.661164394293718e-15,9.61027951144472e-15,3.0,200
henon,width,6,0.25,0.11946228023569504,0.026033810510344448,0.18490459911119134,3.0,200
henon,width,6,0.5,0.3435073759360226,0.06582485599322287,0.4850785250887784,3.0,200
henon,width,6,1.0,0.8226180396062988,0.14149304686722572,1.2496965043342882,3.0,200
henon,width,6,2.0,1.495085430022123,0.20854838988969837,2.027929775705715,3.0,200
henon,width,6,4.0,1.7947569747964707,0.22986231239884494,2.264357206665638,3.0,200
henon,width,8,0.0,2.7229125282426005e-16,4.81236872286132e-15,1.2813706015259615e-14,4.0,200
henon,width,8,1.0,0.6836461105740972,0.15329298274394376,1.064804564727199,4.0,200
mackeyglass,depth,4,0.0,6.397146625289521e-13,3.054592120406103e-12,2.0722645710379494e-11,2.0,200
mackeyglass,depth,4,1.0,1.7340656421159724,0.12909654033616588,1.8573091147101812,2.0,200
mackeyglass,depth,6,0.0,6.397146625289521e-13,3.054592120406103e-12,2.0722645710379494e-11,3.0,200
mackeyglass,depth,6,0.25,0.6094316194355345,0.05795445165847076,0.7476565879424808,3.0,200
mackeyglass,depth,6,0.5,1.4026134282782183,0.1145591271217737,1.6709577491799423,3.0,200
mackeyglass,depth,6,1.0,1.5368095853403716,0.06001290976012221,1.6269570426083328,3.0,200
mackeyglass,depth,6,2.0,1.7791179357946971,0.06196700648813056,1.9545521284821663,3.0,200
mackeyglass,depth,6,4.0,0.5910252065419125,0.17547930138451662,0.9931254047497836,3.0,200
mackeyglass,depth,8,0.0,8.528706620900829e-13,4.103990855626621e-12,3.707197355757221e-11,4.0,200
mackeyglass,depth,8,1.0,1.1378157257012713,0.11968099987613154,1.4187281637100444,4.0,200
mackeyglass,width,4,0.0,2.5146898054946825e-16,2.825356345546392e-15,7.047538308392801e-15,2.0,200
mackeyglass,width,4,1.0,0.6989688959666622,0.1232006908326188,0.9911829778964318,2.0,200
mackeyglass,width,6,0.0,1.025096481220722e-16,3.88629373760146e-15,1.1852678064115147e-14,3.0,200
mackeyglass,width,6,0.25,0.10685588038374264,0.03480430603619343,0.21777229728086045,3.0,200
mackeyglass,width,6,0.5,0.32257747126508063,0.09752649612132616,0.5968627939517785,3.0,200
mackeyglass,width,6,1.0,0.8427339787864951,0.2552945399446083,1.3639634898520336,3.0,200
mackeyglass,width,6,2.0,1.585180268437133,0.3553770211167228,2.316969595883511,3.0,200
mackeyglass,width,6,4.0,1.9822117086527136,0.1088077060070315,2.278268872372838,3.0,200
mackeyglass,width,8,0.0,4.564882767936179e-16,4.772830020305042e-15,1.6017132519074502e-14,4.0,200
mackeyglass,width,8,1.0,0.7107053458557892,0.20683205407953456,1.2191196139962046,4.0,200
