system,encoding,n,J,seed,nrmse,n_features,n_points,deterministic_J0
mackeyglass,depth,6,0.5,2,0.00429678175752853,96,1500,False
mackeyglass,depth,6,0.5,3,0.004385413890207662,96,1500,False
mackeyglass,depth,6,0.5,4,0.004371600759356065,96,1500,False
mackeyglass,depth,6,2.0,0,0.004396280641484968,96,1500,False
mackeyglass,depth,6,2.0,1,0.004481993149106702,96,1500,False
mackeyglass,depth,6,2.0,2,0.004745013562859762,96,1500,False
mackeyglass,depth,6,2.0,3,0.00559568489849815,96,1500,False
mackeyglass,depth,6,2.0,4,0.004130556248370946,96,1500,False
mackeyglass,depth,6,4.0,0,0.004386903673745564,96,1500,False
mackeyglass,depth,6,4.0,1,0.004644852235770526,96,1500,False
mackeyglass,depth,6,4.0,2,0.004313291847789568,96,1500,False
mackeyglass,depth,6,4.0,3,0.003993738254966481,96,1500,False
mackeyglass,depth,6,4.0,4,0.004008983144306199,96,1500,False
mackeyglass,width,4,0.0,0,0.004218093951935416,64,1500,True
mackeyglass,width,4,1.0,0,0.004067953116449362,64,1500,False
mackeyglass,width,4,1.0,1,0.004433009675983053,64,1500,False
mackeyglass,width,4,1.0,2,0.004437476663484182,64,1500,False
mackeyglass,width,4,1.0,3,0.004169420310110734,64,1500,False
mackeyglass,width,4,1.0,4,0.004281357749459892,64,1500,False
mackeyglass,width,6,0.0,0,0.004197991910632475,96,1500,True
mackeyglass,width,6,1.0,0,0.0037710899444100333,96,1500,False
mackeyglass,width,6,1.0,1,0.003654212566650848,96,1500,False
mackeyglass,width,6,1.0,2,0.004021415961677887,96,1500,False
mackeyglass,width,6,1.0,3,0.0033563661972987806,96,1500,False
mackeyglass,width,6,1.0,4,0.003887572820867155,96,1500,False
mackeyglass,width,8,0.0,0,0.0037271007585814742,128,1200,True
mackeyglass,width,8,1.0,0,0.0033353539354744437,128,1200,False
mackeyglass,width,8,1.0,1,0.0030445397275469474,128,1200,False
mackeyglass,width,8,1.0,2,0.0032875767415373592,128,1200,False
mackeyglass,width,8,1.0,3,0.002812621238258747,128,1200,False
mackeyglass,width,8,1.0,4,0.003479750614659278,128,1200,False
mackeyglass,width,6,0.25,0,0.004154957721033881,96,1500,False
mackeyglass,width,6,0.25,1,0.004121579984524288,96,1500,False
mackeyglass,width,6,0.25,2,0.004167212019389153,96,1500,False
mackeyglass,width,6,0.25,3,0.004066749447882686,96,1500,False
mackeyglass,width,6,0.25,4,0.0041810269439668925,96,1500,False
mackeyglass,width,6,0.5,0,0.004033794233013384,96,1500,False
mackeyglass,width,6,0.5,1,0.004025491446684949,96,1500,False
mackeyglass,width,6,0.5,2,0.004127303331962024,96,1500,False
mackeyglass,width,6,0.5,3,0.003805138235904897,96,1500,False
mackeyglass,width,6,0.5,4,0.004132727425943078,96,1500,False
mackeyglass,width,6,2.0,0,0.0037949657630171564,96,1500,False
mackeyglass,width,6,2.0,1,0.003513837280677594,96,1500,False
mackeyglass,width,6,2.0,2,0.0032443896879669194,96,1500,False
mackeyglass,width,6,2.0,3,0.0036981445700924056,96,1500,False
mackeyglass,width,6,2.0,4,0.003363143948446595,96,1500,False
mackeyglass,width,6,4.0,0,0.0031686795892463732,96,1500,False
mackeyglass,width,6,4.0,1,0.002567331718906343,96,1500,False
mackeyglass,width,6,4.0,2,0.003668455786255533,96,1500,False
mackeyglass,width,6,4.0,3,0.0036123354166223446,96,1500,False
mackeyglass,width,6,4.0,4,0.0029699090398531977,96,1500,False
