rival,n_pairs,median_ratio,ratio_ci_lo,ratio_ci_hi,median_paired_diff
elmF,107,4.575103532394934,3.0423999860720934,5.22832512602182,0.0035039458755652996
ngrc,107,7.337459430937264,6.224172792295414,9.400293722014242,0.004432458329353528
