t,tx,ty,tz,px,py,pz
0,0.16632351671079915,0.05793695974570162,0.3005798386615298,0.16987682017813022,0.09015862476793934,0.3903048484729936
1,0.049784625140461614,0.0017324103744385533,0.5823459713575887,0.034691312871983015,0.05199405817480596,0.6829787949966573
2,0.001370958792772936,0.13864347133826765,0.8733153517651842,0.07814588644869858,0.21833225679138124,0.8359806730783461
3,0.08551390094729339,0.38625348562497797,0.9330413668807251,0.09124300793050644,0.41645497180074287,0.8428546902709115
4,0.24344961991167963,0.5336758225036661,0.8064574914703442,0.2898319574996915,0.4676452865384011,0.7515528772522657
5,0.38222630966067217,0.5709803601319163,0.6657915652749657,0.3693638454470687,0.5458972613258783,0.5965508835330837
6,0.4725265917504155,0.5697542742045688,0.5594324330711136,0.4427055531664976,0.5056449764171767,0.4939999616170354
7,0.5254704667970491,0.5674058757431802,0.479424961652919,0.49185717539389273,0.5298564106741654,0.35606997293504605
8,0.5590131121277306,0.5751525278756203,0.41737632416251164,0.525457384300184,0.5437974433473158,0.2662368481186945
9,0.5869839101847718,0.5955880637312543,0.37122804292216555,0.5684137729668741,0.5641879932254241,0.22349569615426645
10,0.6185297705216263,0.6296631854423904,0.3436236992824283,0.5954347194793144,0.6085257173676055,0.20245951907830317
11,0.6595045486066801,0.6774122665625057,0.34179844528136544,0.6460826753339255,0.6732470271609259,0.21966044676707952
12,0.712429122806144,0.7342723975118373,0.37778655473078665,0.7026035647055799,0.7521318346467094,0.273846395936701
13,0.7733297755750043,0.7834559456651378,0.46327051990145246,0.7822677807819911,0.8343074119978144,0.39576353421220745
14,0.8262625720939465,0.7924277265187528,0.5901112321328925,0.8520534661336914,0.8466006889925506,0.5984329327746707
15,0.8448065102262082,0.7364056227899731,0.7075873030169861,0.8675665658793879,0.7529524470761348,0.7956586167287085
16,0.8129256507793877,0.6403190234805075,0.7519467251157137,0.7824935118758205,0.5798168996559436,0.8825600938863261
17,0.7455455953190475,0.5601321016568791,0.7160635155295387,0.6449921357130233,0.4515670234831255,0.8716919216716335
18,0.6740882254758579,0.5207638406800388,0.6409717719984911,0.5349098799357179,0.3992256604802513,0.7945316966012612
19,0.6196455330219659,0.51249799349952,0.560084672431225,0.47371284806563985,0.40960494158303007,0.7018421847444429
20,0.5873574476576816,0.5202461325337582,0.48596682722783596,0.44777649697941335,0.3875381760085208,0.6608519411247897
21,0.5743202331823668,0.5360718854598011,0.4216332337258722,0.43580432207136255,0.38872185836996564,0.5830295349127681
22,0.5765575287883622,0.5584469982773111,0.36830031530052026,0.43504191393605574,0.4235819138859256,0.4542357296060473
23,0.5919602246201752,0.5893421839272104,0.3282205399194285,0.443000969003128,0.44763087502552956,0.30211281492677244
24,0.6207530718558334,0.6320790973555849,0.30638058641198873,0.46712075921336904,0.46347368591504434,0.13683180149902086
25,0.6646381649989985,0.6888114231972493,0.3126079847699632,0.5052532099060176,0.4749108047296282,-0.002176130535104903
26,0.7241952806024619,0.7548481066571706,0.3627960709182736,0.5613854483338585,0.489978797492272,-0.06397388936100157
27,0.7928732959546378,0.8081226677260974,0.47173579168867213,0.6142595957909371,0.5445041292724468,-0.053748251303815664
28,0.8487768697068452,0.8061098994253502,0.6246131291202117,0.6657950642161374,0.6538957634963598,-0.030926830955948503
29,0.8586512679738343,0.7245754016519504,0.749637110968445,0.7645224334957668,0.8230575582503459,-0.0475779408068604
30,0.8089853674938884,0.6096948129260307,0.7754613800955747,0.9780419421401909,1.0887399081358495,-0.077658621780607
31,0.7262507099734785,0.5289016682732457,0.7160365934879469,1.3557678514472968,1.4188912407530108,0.02180359609770477
32,0.6479865793968748,0.496790262609083,0.627126029056944,1.8843007659619193,1.3832303154685608,0.1190850692736447
33,0.5929545232761431,0.49404414393067153,0.5402775305325993,2.5408317129597418,1.127138301066406,-0.7486945472466751
34,0.5621240996885848,0.5035411431349676,0.46335812760337897,3.350932935910933,0.9509320628718658,-2.601453611597357
35,0.5500118535052242,0.5182006342415567,0.39682634353348917,3.7729348333875024,1.0535016190881894,-2.009039111815351
36,0.5516034899111499,0.5374322401433093,0.34053345387719497,2.840001226859748,0.5594408582007482,-1.0768874457935915
37,0.5645506735150715,0.563822913536599,0.29543141079993557,4.244826552928348,1.5140103391580908,-3.2736299552626598
38,0.5892945424988606,0.6015880748403216,0.2647023599809222,2.523258010553013,0.07306687905344234,0.9826714146241571
39,0.6285239148196562,0.6554159764369704,0.25589823954525,3.4474938651335254,0.8125185431988324,-2.7016795224925723
40,0.6857468106532829,0.7270259639365759,0.28428195718698923,3.8968338558976674,1.3156057995052297,-0.5635548877445515
41,0.7608958300559525,0.8049200773211794,0.37345962161080876,3.784036286255917,2.2508378568777534,-2.9638489966159547
42,0.8399967312273053,0.8477260017351198,0.536606908468567,2.137010261351005,-0.08844340193392952,1.2138331067653212
43,0.8856284861681306,0.7964342889205551,0.7231018367799342,2.074173091944509,-0.04136836564043023,-1.8811041925844734
44,0.8591359561748155,0.660246015814069,0.8172012901394026,6.085156902504905,2.3348658820540766,-4.185131829025977
45,0.7706553077322096,0.536027733300199,0.7801445011942987,3.785185675439637,0.16254333798118736,-0.5147192071228233
46,0.670067457427751,0.4770468156442386,0.68221969778761,3.6839379446110634,1.708684693152879,-3.2467744057806236
47,0.5926642208309174,0.4643079636100038,0.581703792798953,3.3086616518691105,0.38088760669566035,-0.023842252124353536
48,0.5450419661368033,0.4694635144852247,0.49390042621140323,3.3425273727273233,1.023068621759002,-2.5506015108039257
49,0.5202996995447441,0.47851726266315225,0.41830806378568813,3.989271628918612,1.5986831310270144,-0.9324195413340632
50,0.5101137955441366,0.4876726610966594,0.35274426368262823,3.088115097603948,1.6254693404298575,-1.6612294023375291
51,0.50885057303416,0.49743727883829536,0.29578011689919387,3.501688588410566,1.072159761229024,-2.84107819764073
52,0.5138612891901337,0.5098620057949382,0.24664389961421923,3.839386858577102,1.1021431712070129,-0.8047936847371986
53,0.5248670231162743,0.5278743171794241,0.20522511815520628,3.722580938702965,0.9642362546000385,-2.9386579754472457
54,0.5435472711594904,0.5555800227742049,0.1726016310693747,4.2901137094390975,1.1470758453299226,-1.0487057873112384
55,0.5735564082649619,0.5988454769351264,0.1525274775322631,2.629288637603869,1.2525343819922181,-0.9827514180510626
56,0.6207018299388064,0.6651382348514576,0.15493718317020588,4.354447704475493,1.6989864448061507,-4.753660683897397
57,0.6920342870380565,0.7591843357087666,0.2026478099333509,4.347949743772971,0.9903310474591986,-0.8984009808620996
58,0.7897001167366506,0.8650293026126127,0.33595031308953766,2.290555207618219,0.5890662954544794,-0.459530789986907
59,0.8921289105091228,0.910891815365167,0.5791306529361797,3.9397652233134313,2.2748057085319235,-3.253080614009175
60,0.9358431801792508,0.7990301837535084,0.8295338162282924,1.8644505806616802,0.04544900190427548,1.706081658087669
61,0.8683030070890754,0.5895749739397402,0.8960298970414269,2.235552339930095,0.20852737699979684,-1.3123207844694917
62,0.7325810258974721,0.4512069176095954,0.7954455228152946,5.944691675259153,2.4976809907584556,-4.809625707330277
63,0.6068832405709726,0.40876160861557165,0.6652980514421452,3.2142718197909073,-0.3537667847647814,0.31735862772811174
64,0.5221520273667838,0.4070841121627782,0.5580536256163031,4.046826798036086,1.6856818730074714,-3.2058159829339523
65,0.472386228423431,0.41109788646493317,0.4727607422574785,2.4614251198178376,0.44987960831001494,0.9302217180360728
66,0.4427292850745761,0.4086902886756881,0.4028593660474124,3.5041478020692427,0.4153182519151155,-2.181546527835124
67,0.42079716494460473,0.39659720343972565,0.3454422109626171,3.8246429096472703,2.1317611660574105,-1.2199833542244498
68,0.39798148313030673,0.37307773088061125,0.30066328152241106,3.563272021670551,1.3091838305390553,-2.2955730368324723
69,0.36792460415080097,0.33547565621342834,0.2717667134928132,3.0292739817399905,0.6383576448557289,-1.625929430342687
70,0.3251449030118342,0.2806032603663454,0.26693707689143326,3.890139451832896,1.0784349557396666,-1.4499725601005053
71,0.2653573574106065,0.20887110716670337,0.3022692203912639,3.146343699869229,1.1212438117667674,-2.259532469594454
72,0.18974301154736006,0.13564509173044276,0.40045008462173654,4.110718793332882,1.2531120054721292,-1.116594330436076
73,0.11515759646478335,0.10585023154544271,0.5672735396362674,3.4176703310218848,1.3661687222952352,-2.023470641429032
74,0.08015009884374613,0.17145519609224125,0.7405244472170331,3.2840950848740125,0.8283931450518818,-1.8383950958122952
75,0.11684448364927791,0.3070785537857358,0.8115336685534422,3.834773056571798,1.3984768089120028,-1.5289420084427654
76,0.20721086443966613,0.41902868958427253,0.7626737631602096,3.167556453600941,1.0393795088437265,-1.9252729499606964
77,0.3028727445456003,0.4684951875037226,0.6649225508647294,3.9248590186015377,1.2781903439558988,-1.75831532338756
78,0.37398924920171656,0.4773611292253265,0.5676386671233649,2.902730812086647,0.8754526978737118,-0.9882732802516969
79,0.41664095150454916,0.4709440312147445,0.4826054016957249,4.166284374178939,1.582864952641966,-3.788869639827954
80,0.437859342335975,0.46093239764730587,0.4091505584998874,3.377626473226231,0.492691996064865,0.6038928842500937
81,0.4452168251604544,0.4500508286652209,0.3454686447439989,4.147038790927971,1.8473825360449059,-3.670880813966054
82,0.4434951454846052,0.43720219650251335,0.29048736827539073,2.1997311582932433,0.3674603436241206,1.4767310172373556
83,0.4345229653758102,0.419712887429924,0.24391299800904648,2.7874601365804796,1.0961146524156415,-1.6268639488203647
84,0.4176795524001716,0.39374554325188926,0.20657601557436572,3.6940211818445867,2.1937053838200473,-1.8737101772177667
85,0.39016967487540977,0.35398932289868246,0.18163830728008334,2.694732684041714,0.19177209412990592,-1.0534746397338957
86,0.34707807037639843,0.29376009570668704,0.17746359850465804,5.071757418249641,1.7643558460398676,-4.498596360967678
87,0.28216245406801854,0.20828336135892073,0.21311004951547524,2.866913272893246,0.20106497901674736,0.9932649785404593
88,0.19260520058123276,0.10847213637612885,0.3229369272583586,3.1725403181621648,1.2272433140871488,-2.064270946590373
89,0.09392404488675632,0.05037362165971737,0.534387138283972,3.3501024209549595,1.576781752060164,-1.0308700027530193
90,0.038353009360749535,0.12553822559821676,0.778730519940477,3.1764918032296787,1.2120587791884105,-2.3294908384188915
91,0.08175549207789151,0.31409134060568783,0.8810042765949166,3.925479717984362,1.3803629698297897,-2.3729907870466356
92,0.20190863697327593,0.4636469255648673,0.8095736617416174,2.4720189201464944,0.32534097712442644,0.2746008407290361
93,0.3259191215435918,0.5200284429458745,0.6852236736763835,3.8486520600416494,1.3887327583568059,-3.8336742129966623
94,0.41448211719137584,0.526955308040246,0.5750607719087153,3.712340763009962,0.7947406786046685,0.39223648796974686
95,0.4674614441900455,0.5222007142675057,0.485613029906471,3.8798020223250695,2.5977434890213207,-2.3804904369079622
96,0.49769327490106424,0.520662978139297,0.41132139573769494,1.8944411911551757,0.6777674673444984,1.4617630731922517
97,0.5172239848945371,0.5264417805191017,0.34862920743398823,2.715148807303107,1.2435868884763064,-0.7119770647958177
98,0.5345311334151762,0.5409682375995503,0.29636955052443104,2.6815875047284976,1.9097366469474277,-0.4339120010555888
99,0.5556134885745754,0.566321846896464,0.25528888943629924,4.140607432243341,1.5031924797808625,-1.9165704175113838
100,0.5856603415964652,0.6062336178612678,0.22890017278903585,2.8003268436237647,0.02467533004101341,-0.4069314493508074
101,0.6301473729861745,0.6654516397322818,0.2260780196726721,4.534271638789517,1.3170472499859205,-3.777678700830645
102,0.6942806311666274,0.7453831888152813,0.2653663880999383,2.8537175059794713,1.1561555661690743,0.2947281617589539
103,0.7780038338183801,0.8304303024630884,0.37553519278925945,3.116031617393034,1.453596915546763,-1.8889405418416096
104,0.8628970598303735,0.8668326900543379,0.5686534553170186,2.9207325504046295,1.8789333760529612,-0.7967933243196406
105,0.9022091377094813,0.7872841543062526,0.7703061808890443,3.6146448619064895,1.4318031347996136,-3.00168980498659
106,0.856220051589885,0.6257736770070085,0.8439849077951009,3.332065267676777,0.8863304999122885,-0.9430733822631048
107,0.7498510101213886,0.5015917381067003,0.7782963388236215,3.1092070075194727,0.8750004263626359,-1.7230949716901378
108,0.6422927872806725,0.4529148880372149,0.6671847601313303,4.318066298798732,1.9014965729109026,-3.6884415918917703
109,0.5652122697565364,0.44651818943461286,0.5640703553391846,2.8481495842811793,0.11363716006020397,1.0126960793667763
110,0.5194767088885344,0.45246368119397495,0.47691412322454135,3.957483921689236,1.2166121050377718,-3.5371798598810855
111,0.4951126532993554,0.45836793408871535,0.4025604584655101,3.3583887384606985,0.6228562280841636,0.5674950095063735
112,0.4825871172179869,0.461163536901513,0.33817460269461014,3.926915874845573,2.478776538041787,-2.856107267220775
113,0.4755361209790602,0.460767057877425,0.2820698675471738,1.5596875016947216,0.5806874364621013,1.881295826710307
114,0.4702037819282917,0.45738908404857337,0.2331439746197147,2.3179967948254223,0.6822306590892726,-0.23237930227759307
115,0.4642710759111871,0.4506360686292744,0.19061529291484403,3.1252507692298064,1.760241979672914,-1.7784703553733543
116,0.45586793415770593,0.4391675508358661,0.15403174243158935,2.647158514504822,0.5313049606268301,-1.5181434218978005
117,0.44280458322186117,0.42033709927449414,0.12352896604788535,4.667161601294158,2.106817871895677,-3.6490542597939104
118,0.42185430591431494,0.3895999144688846,0.10058464708177353,2.4012126812394126,0.25663410357951655,1.2035879991570226
119,0.38795314831569355,0.339788503387332,0.0900174228050922,3.255470493186545,0.9177240258816219,-2.7575542750562363
120,0.33352618788941213,0.26142491071873397,0.10492346061835581,4.245523222220897,1.5329588631309061,-0.8329391145366216
121,0.24963988275240467,0.14938670070954435,0.1764523790129538,3.8292883235589326,1.735326486578936,-2.879650709564043
122,0.13544876373336506,0.031063656019154395,0.3586753270778924,2.5904519678595843,0.05280794778078679,0.48357067793011055
123,0.026456301849893393,0.014468075770715128,0.6658098453594474,2.914629478550113,0.6126547068428074,-2.8299061908356435
124,0.009429428151892072,0.20062630698496292,0.9166156094030957,5.561749640378099,2.1133530524869872,-2.2562147386841147
125,0.12271572112322254,0.4381018923190306,0.9113334704254876,4.131607577276771,1.3476553635782107,-1.6142511205285466
126,0.28314410967904324,0.5515837739056672,0.7686128118998368,2.8395897572288806,0.2919038494964301,-2.473637157273778
127,0.41040343515118594,0.5731666811588545,0.6358525743677013,5.362419018827943,1.480291547495236,-1.7440847093214167
