system,n_qubits,n_points,n_seeds,benefit_5seed_mean,benefit_5seed_std,benefit_5seed_min,benefit_5seed_max,benefit_2seed
henon,4,1500,5,1.0296128317599371,0.01120432525730296,1.0170887225984846,1.0451581911988839,1.033838892623728
henon,6,1500,5,1.0265961973120636,0.011610983753455456,1.0097944516632762,1.0425246365410228,1.0150170361145074
henon,8,1200,5,1.0337823388474834,0.015281074354805893,1.0090181963016993,1.0491801935115603,1.0285922093531334
mackeyglass,4,1500,5,1.0307008282566472,0.032550817830727,0.9907497905447276,1.0752598403067861,1.0346274719507684
mackeyglass,6,1500,5,1.0830956893649413,0.09419477795205347,0.9951170104270204,1.2593742629533204,1.1744233854839845
mackeyglass,8,1200,5,1.0947522790745536,0.1769063608173568,0.9704639650361493,1.4393751657514113,1.2150099836910184
