system,n_qubits,readout_set,shots,NRMSE,NRMSE_std,NRMSE_persistence,skill_vs_persistence
henon,4,Z+X+Y,exact,0.004550562641428853,6.109022714290857e-05,1.5999111048714134,351.5853381086629
henon,4,Z+X+Y+ZZ,exact,0.004419574589833098,1.544135235326846e-05,1.5999111048714134,362.00568003804926
henon,4,Z+X+Y,8192,0.2348937547666306,0.006393152194610207,1.5999111048714134,6.811211760231521
henon,4,Z+X+Y+ZZ,8192,0.1718176835722677,0.005746036364352699,1.5999111048714134,9.311678935529821
henon,4,Z+X+Y,1024,0.5466837971194082,0.018016824993873488,1.5999111048714134,2.926574947532159
henon,4,Z+X+Y+ZZ,1024,0.4304735447781736,0.019969100730752205,1.5999111048714134,3.716630497458003
henon,6,Z+X+Y,exact,0.004548592037772495,5.731131894914606e-05,1.5999111048714134,351.7376567485949
henon,6,Z+X+Y+ZZ,exact,0.004431221546101585,6.958357812704537e-05,1.5999111048714134,361.05418973667713
henon,6,Z+X+Y,8192,0.22905327467293485,0.007193401833778187,1.5999111048714134,6.984886407565779
henon,6,Z+X+Y+ZZ,8192,0.17598872167308835,0.0026125170121907124,1.5999111048714134,9.090986568124308
henon,6,Z+X+Y,1024,0.5320605380700478,0.036752054379944096,1.5999111048714134,3.0070095231546357
henon,6,Z+X+Y+ZZ,1024,0.42486115314905215,0.005244188351718266,1.5999111048714134,3.765726974596154
henon,8,Z+X+Y,exact,0.004687241498068635,0.0001121810420369908,1.5931647969369334,339.89390083557515
henon,8,Z+X+Y+ZZ,exact,0.00453543332124742,0.00014156819362310516,1.5931647969369334,351.27069104364017
henon,8,Z+X+Y,8192,0.2474278453428902,0.013007429780916013,1.5931647969369334,6.438906642577336
henon,8,Z+X+Y+ZZ,8192,0.18325591197396315,0.008250683999413004,1.5931647969369334,8.693661119993164
henon,8,Z+X+Y,1024,0.5533698042386782,0.03412258354791798,1.5931647969369334,2.8790237283163593
henon,8,Z+X+Y+ZZ,1024,0.443321237845378,0.014328092042777837,1.5931647969369334,3.59370285231541
lorenz,4,Z+X+Y,exact,0.019510310563876598,0.0020681038474890724,0.28736669595742753,14.728965744373536
lorenz,4,Z+X+Y+ZZ,exact,0.012898076563223951,0.0012796099454955806,0.28736669595742753,22.279810059182847
lorenz,4,Z+X+Y,8192,0.09829728274491746,0.005154786724006734,0.28736669595742753,2.923444961374439
lorenz,4,Z+X+Y+ZZ,8192,0.09217050294342544,0.005571794942711847,0.28736669595742753,3.1177728967565055
lorenz,4,Z+X+Y,1024,0.19309638568913517,0.026100286672162392,0.28736669595742753,1.4882033909223844
lorenz,4,Z+X+Y+ZZ,1024,0.17692025436305767,0.016075484843268702,0.28736669595742753,1.6242724553612893
lorenz,6,Z+X+Y,exact,0.020536544922248934,0.0038582297157704207,0.28736669595742753,13.992942680737862
lorenz,6,Z+X+Y+ZZ,exact,0.016141124366993564,0.004931293941062823,0.28736669595742753,17.803387758107725
lorenz,6,Z+X+Y,8192,0.0942377444120192,0.004020240961949101,0.28736669595742753,3.049380030797686
lorenz,6,Z+X+Y+ZZ,8192,0.08671832759623181,0.004924010649370082,0.28736669595742753,3.313794256912244
lorenz,6,Z+X+Y,1024,0.1772241594107098,0.01427977667876493,0.28736669595742753,1.6214871432481555
lorenz,6,Z+X+Y+ZZ,1024,0.16193728256965692,0.014016271645784735,0.28736669595742753,1.7745555032011697
lorenz,8,Z+X+Y,exact,0.015950022967355402,0.0031177592917595543,0.27272329649574195,17.098614657415816
lorenz,8,Z+X+Y+ZZ,exact,0.013128503346000988,0.004001383910276766,0.27272329649574195,20.77337296629588
lorenz,8,Z+X+Y,8192,0.09323002360167656,0.005109474034391123,0.27272329649574195,2.925273275280363
lorenz,8,Z+X+Y+ZZ,8192,0.08605908252950994,0.0039328556811471386,0.27272329649574195,3.1690239830551787
lorenz,8,Z+X+Y,1024,0.1685015436207915,0.0150122049710862,0.27272329649574195,1.6185210570503668
lorenz,8,Z+X+Y+ZZ,1024,0.16071174871232602,0.010714989179445892,0.27272329649574195,1.6969717440130438
mackeyglass,4,Z+X+Y,exact,0.004878362053646257,0.00010792306179162175,0.15067291030521437,30.885963085211397
mackeyglass,4,Z+X+Y+ZZ,exact,0.004736758003485732,0.00015379559830015646,0.15067291030521437,31.80929027709157
mackeyglass,4,Z+X+Y,8192,0.0720214633833722,0.0038422777595504914,0.15067291030521437,2.092055662673478
mackeyglass,4,Z+X+Y+ZZ,8192,0.06893498577194465,0.0034719405289889236,0.15067291030521437,2.1857248335943757
mackeyglass,4,Z+X+Y,1024,0.14186871831703748,0.010447902493252264,0.15067291030521437,1.0620587264946029
mackeyglass,4,Z+X+Y+ZZ,1024,0.12823142318624298,0.004218171863268385,0.15067291030521437,1.175007705298392
mackeyglass,6,Z+X+Y,exact,0.005000747984154923,0.0004285253303084101,0.15067291030521437,30.13007469735082
mackeyglass,6,Z+X+Y+ZZ,exact,0.004618213473460515,7.366587546104722e-05,0.15067291030521437,32.62580025178271
mackeyglass,6,Z+X+Y,8192,0.07148345638157337,0.005183178500881435,0.15067291030521437,2.1078011323477925
mackeyglass,6,Z+X+Y+ZZ,8192,0.0684297803061554,0.005608977105195586,0.15067291030521437,2.201861669453015
mackeyglass,6,Z+X+Y,1024,0.13369804494280693,0.011186565705797897,0.15067291030521437,1.1269642003341853
mackeyglass,6,Z+X+Y+ZZ,1024,0.12540090798637693,0.011360774297540307,0.15067291030521437,1.2015296597500147
mackeyglass,8,Z+X+Y,exact,0.004501032925066174,0.0008582876627550936,0.15322835510088478,34.042931400825516
mackeyglass,8,Z+X+Y+ZZ,exact,0.004098161414978624,0.00017094876193015593,0.15322835510088478,37.38953632739818
mackeyglass,8,Z+X+Y,8192,0.07370434000079965,0.004751740621888198,0.15322835510088478,2.0789597342466175
mackeyglass,8,Z+X+Y+ZZ,8192,0.07155428695784748,0.004316034758687225,0.15322835510088478,2.1414280208137826
