system,model,F,shots,NRMSE_quantum,NRMSE_ESN_F,beats_ESN,margin_ratio_esn_over_qrc
henon,QRC-rich,96,exact,0.0011108780842628,0.02003424617616511,True,18.03460385075489
henon,QRC-rich,96,8192,0.4994102924950249,0.02003424617616511,False,0.040115805535515046
henon,QRC-rich,96,1024,0.8005191896613478,0.02003424617616511,False,0.02502656580242681
