system,n_qubits,n_points,n_seeds,var_1local_mean,var_1local_std,var_2local_mean,var_2local_std,ratio_2over1_meanofratios,ratio_2over1_std,ratio_2over1_ofmeans_5seed,ratio_2over1_ofmeans_2seed
henon,4,1500,5,0.008874110300415385,0.002368620233977197,0.006901384509892449,0.0048213566895973685,0.7174851002619256,0.36987161605636115,0.7776987524675465,0.9673555621212451
henon,6,1500,5,0.007847459148160698,0.0025233914634707317,0.0076765008371482354,0.005060621307673329,0.9169011084574816,0.5174069603168112,0.9782148198818553,0.7873076300589772
henon,8,1200,5,0.006238720341010635,0.0016431820307907434,0.005131986837132467,0.002189252398935416,0.8217513776361367,0.3099474391387056,0.8226024820181499,0.7596178501453645
mackeyglass,4,1500,5,0.01355702421689452,0.005812686219467613,0.02162417332637172,0.013998287532379387,1.4985323561021242,0.6995694605983438,1.59505308690266,2.26072132265657
mackeyglass,6,1500,5,0.01241805772183244,0.006662675239116227,0.026846551828680575,0.019092779913697226,2.0806594519277652,1.2226679019885542,2.161896202292658,1.5692779314464782
mackeyglass,8,1200,5,0.010361135281607651,0.004444805648248976,0.014782636591107828,0.007727137073525474,1.4523496938522056,0.660129654465598,1.4267390772658775,1.4487308642513579
