system,encode_scale,zz_residual_power_fraction,zz_new_frequency_fraction_thr0.001,zz_new_frequency_fraction_thr0.01,zz_new_frequency_fraction_thr0.05
henon,0.5,6.479204912020614e-05,1.606929047302595e-31,0.046221682940671256,0.3800853001582524
mackeyglass,1.0,8.313694469649813e-06,0.3980392228219996,0.5570544514608121,0.7208044595845028
