system,K,elm300_median,elm300_iqr,esn300_median,esn300_iqr,ngrc_median,ngrc_iqr,qrc_rich_median,qrc_rich_iqr,elm300_wins,esn300_wins,ngrc_wins,qrc_rich_wins,loggap_qrc_vs_bestclassical_lo,loggap_qrc_vs_bestclassical_hi,gap_excludes_zero
henon,20,0.0002735736071935,3.3205237328874995e-05,0.0095349738072768,0.0013333625359417487,1.6619568589996119e-06,1.8151173817281663e-07,0.004544240194117101,0.0003361895846164748,0,0,20,0,3.4117546749495666,3.4589730399408327,True
lorenz,20,0.00052832707358415,0.00013840962971129996,0.034657657183772506,0.012581583615076775,0.0016132150752257999,0.0002377767129952749,0.012548773906127051,0.001287563919674049,20,0,0,0,1.334680478254248,1.4065739588314419,True
mackeyglass,20,0.0017042772726329,0.0002311315844408749,0.007232261016125,0.0006805297229510749,0.0023237041394585,0.00024233154577270018,0.004579343020114,0.0004867944291928241,20,0,0,0,0.4189638790430037,0.43930982808870556,True
