system,seed,model,eps,beta,val_nrmse,test_nrmse,n_features
henon,0,rfqrc,0.05,1e-06,0.2652388213054737,0.2593491572689204,256
henon,0,rfqrc,0.05,1e-09,0.2636844890935612,0.26092467915670325,256
henon,0,rfqrc,0.05,1e-12,0.2624960505320481,0.2593922752906622,256
henon,0,rfqrc,0.1,1e-06,0.2648810793324855,0.2605376131149091,256
henon,0,rfqrc,0.1,1e-09,0.2635267109031009,0.2612339393492808,256
henon,0,rfqrc,0.1,1e-12,0.26303633494805356,0.2598363231181489,256
henon,0,rfqrc,0.2,1e-06,0.26698219774827325,0.2636374731056366,256
henon,0,rfqrc,0.2,1e-09,0.2654420954404275,0.26353268246234895,256
henon,0,rfqrc,0.2,1e-12,0.26533358905656845,0.26285457032157356,256
henon,0,rfqrc,0.3,1e-06,0.26968841270518656,0.2665656294980504,256
henon,0,rfqrc,0.3,1e-09,0.26790751738201973,0.2662667097007878,256
henon,0,rfqrc,0.3,1e-12,0.2678643856549968,0.26616227395747566,256
henon,0,elmF,,1e-06,0.00021993492143607612,0.00021859844099566923,256
henon,0,ngrc,,1e-06,8.016490003842918e-07,7.688223971879289e-07,21
henon,1,rfqrc,0.05,1e-06,0.26513067278675845,0.25931633643566504,256
henon,1,rfqrc,0.05,1e-09,0.2633208944911895,0.26045212862433287,256
henon,1,rfqrc,0.05,1e-12,0.2624744449295625,0.25923228318360847,256
henon,1,rfqrc,0.1,1e-06,0.2648313766050235,0.26060437344024645,256
henon,1,rfqrc,0.1,1e-09,0.26318674317354923,0.2606953426044573,256
henon,1,rfqrc,0.1,1e-12,0.26305009106090105,0.25980737348592325,256
henon,1,rfqrc,0.2,1e-06,0.26693106320117205,0.2636429524814544,256
henon,1,rfqrc,0.2,1e-09,0.26529868674566254,0.2632378620844525,256
henon,1,rfqrc,0.2,1e-12,0.26537846852339664,0.26288258302050466,256
henon,1,rfqrc,0.3,1e-06,0.26962356833936957,0.26653738120506065,256
henon,1,rfqrc,0.3,1e-09,0.2678115747608262,0.26615253751105905,256
henon,1,rfqrc,0.3,1e-12,0.26793803218561246,0.26621316382544347,256
henon,1,elmF,,1e-06,0.0001940447279257497,0.000183467358884717,256
henon,1,ngrc,,1e-06,8.016490003842918e-07,7.688223971879289e-07,21
henon,2,rfqrc,0.05,1e-06,0.2651808604135148,0.25916327558285507,256
henon,2,rfqrc,0.05,1e-09,0.26360778757211806,0.260849698845407,256
henon,2,rfqrc,0.05,1e-12,0.2624607158204807,0.25929101799078375,256
henon,2,rfqrc,0.1,1e-06,0.2649278142975998,0.2605979956553289,256
henon,2,rfqrc,0.1,1e-09,0.26344504146131703,0.26109114642519726,256
henon,2,rfqrc,0.1,1e-12,0.26301996166039865,0.2598056272343635,256
henon,2,rfqrc,0.2,1e-06,0.2670254266722642,0.2636885511645909,256
henon,2,rfqrc,0.2,1e-09,0.265395696285957,0.26339213947610346,256
henon,2,rfqrc,0.2,1e-12,0.26532798878638075,0.2628551535264745,256
henon,2,rfqrc,0.3,1e-06,0.2696985829383911,0.26656694629004507,256
henon,2,rfqrc,0.3,1e-09,0.26788111159963024,0.2661844403464802,256
henon,2,rfqrc,0.3,1e-12,0.26787001813540806,0.26616985196471066,256
henon,2,elmF,,1e-06,0.00018916409603085595,0.00018074962953406665,256
henon,2,ngrc,,1e-06,8.016490003842918e-07,7.688223971879289e-07,21
henon,3,rfqrc,0.05,1e-06,0.2651656499422018,0.2593206557264906,256
henon,3,rfqrc,0.05,1e-09,0.2633009781591963,0.26031362728521146,256
henon,3,rfqrc,0.05,1e-12,0.26243647115096713,0.2592196975469142,256
henon,3,rfqrc,0.1,1e-06,0.264883488449102,0.2606347851107012,256
henon,3,rfqrc,0.1,1e-09,0.2631484838418135,0.260585188651636,256
henon,3,rfqrc,0.1,1e-12,0.26302170248255824,0.2597925988011056,256
henon,3,rfqrc,0.2,1e-06,0.2669781984133552,0.26366227609126813,256
henon,3,rfqrc,0.2,1e-09,0.2652779296236527,0.2631093921035973,256
henon,3,rfqrc,0.2,1e-12,0.2653448435618909,0.26287059814155755,256
henon,3,rfqrc,0.3,1e-06,0.2696733750140714,0.2665501367418961,256
henon,3,rfqrc,0.3,1e-09,0.26781851679291363,0.2660487764414599,256
henon,3,rfqrc,0.3,1e-12,0.26789541724111865,0.26619627819439895,256
henon,3,elmF,,1e-06,0.00018890438217056128,0.0001832585556167796,256
henon,3,ngrc,,1e-06,8.016490003842918e-07,7.688223971879289e-07,21
henon,4,rfqrc,0.05,1e-06,0.2650158018842278,0.25923522205368205,256
henon,4,rfqrc,0.05,1e-09,0.26337505184979243,0.2604613150555863,256
henon,4,rfqrc,0.05,1e-12,0.2624722063138599,0.2592362617304734,256
henon,4,rfqrc,0.1,1e-06,0.2647958116128697,0.26059516019412104,256
henon,4,rfqrc,0.1,1e-09,0.26320476663780895,0.2607153145568726,256
henon,4,rfqrc,0.1,1e-12,0.26304706973644704,0.25980660757678387,256
henon,4,rfqrc,0.2,1e-06,0.26695057383725235,0.2636687811466351,256
henon,4,rfqrc,0.2,1e-09,0.2653042688250644,0.2632328502834945,256
henon,4,rfqrc,0.2,1e-12,0.2653534503958395,0.26287517054739074,256
henon,4,rfqrc,0.3,1e-06,0.2696571641070385,0.2665765467606079,256
henon,4,rfqrc,0.3,1e-09,0.2678214760708576,0.2661386782742148,256
henon,4,rfqrc,0.3,1e-12,0.26790270508879477,0.26620622346767436,256
henon,4,elmF,,1e-06,0.00017636960993526213,0.00017624261225710578,256
henon,4,ngrc,,1e-06,8.016490003842918e-07,7.688223971879289e-07,21
lorenz,0,rfqrc,0.05,1e-06,0.7402841040336683,0.7207967115406678,256
lorenz,0,rfqrc,0.05,1e-09,0.7565563573417505,0.7225783081728632,256
lorenz,0,rfqrc,0.05,1e-12,0.767343089376167,0.7374955043844753,256
lorenz,0,rfqrc,0.1,1e-06,0.6756226098465511,0.6638749812586348,256
lorenz,0,rfqrc,0.1,1e-09,0.6801009607771517,0.6627297523164544,256
lorenz,0,rfqrc,0.1,1e-12,0.6814616230547268,0.6625033776129932,256
lorenz,0,rfqrc,0.2,1e-06,0.5963947031581488,0.5866273980473056,256
lorenz,0,rfqrc,0.2,1e-09,0.5938459177651607,0.5833903216591736,256
lorenz,0,rfqrc,0.2,1e-12,0.5955906880224602,0.5850319088792889,256
lorenz,0,rfqrc,0.3,1e-06,0.5286554883366927,0.5217783962533474,256
lorenz,0,rfqrc,0.3,1e-09,0.5243548394404243,0.517652675034709,256
lorenz,0,rfqrc,0.3,1e-12,0.5293512931859264,0.5228590399331533,256
lorenz,0,elmF,,1e-06,0.0006223305859119719,0.0006276626236209061,256
lorenz,0,ngrc,,1e-06,0.0014207739354182684,0.0014638867063359326,56
lorenz,1,rfqrc,0.05,1e-06,0.7413508942103262,0.7211264750893699,256
lorenz,1,rfqrc,0.05,1e-09,0.7539762449957641,0.7210925744733961,256
lorenz,1,rfqrc,0.05,1e-12,0.7686629152737661,0.7388103258309171,256
lorenz,1,rfqrc,0.1,1e-06,0.6752646175596186,0.6639594912186237,256
lorenz,1,rfqrc,0.1,1e-09,0.6784417120182746,0.6614815796537813,256
lorenz,1,rfqrc,0.1,1e-12,0.6796248421188152,0.6607886883708441,256
lorenz,1,rfqrc,0.2,1e-06,0.5964628733342612,0.58762948954948,256
lorenz,1,rfqrc,0.2,1e-09,0.5937112397028845,0.5832471907186818,256
lorenz,1,rfqrc,0.2,1e-12,0.595711356574223,0.5851343658596553,256
lorenz,1,rfqrc,0.3,1e-06,0.5290706238688897,0.5229295291636814,256
lorenz,1,rfqrc,0.3,1e-09,0.5250277801150572,0.5181625198223148,256
lorenz,1,rfqrc,0.3,1e-12,0.5286848560020978,0.522051909999682,256
lorenz,1,elmF,,1e-06,0.0005272114569606578,0.0005100135809953971,256
lorenz,1,ngrc,,1e-06,0.0014207739354182684,0.0014638867063359326,56
lorenz,2,rfqrc,0.05,1e-06,0.7395805915462277,0.7212061755701871,256
lorenz,2,rfqrc,0.05,1e-09,0.7555803514043047,0.7217694231250642,256
lorenz,2,rfqrc,0.05,1e-12,0.7668330301975089,0.7369435096960748,256
lorenz,2,rfqrc,0.1,1e-06,0.6738315267386202,0.6633199933125896,256
lorenz,2,rfqrc,0.1,1e-09,0.679688144896118,0.6626118571776067,256
lorenz,2,rfqrc,0.1,1e-12,0.6802809162740706,0.6614537725092698,256
lorenz,2,rfqrc,0.2,1e-06,0.595048470161616,0.5860291181210728,256
