step,true
0,0.09346788794105923
1,0.4382339862809616
2,0.7559653531911408
3,0.6436555629710028
4,0.8978366125753064
5,0.375492470348636
6,0.9544077290780636
7,0.12334591892225553
8,0.5148217727898354
9,0.7790511342556902
10,0.6227858214422177
11,0.9243310005336927
12,0.29167218103939707
13,0.8611007988849777
14,0.3691208152120856
15,0.937456849881453
16,0.17528622526082704
17,0.6410158498064586
18,0.7262803160186347
19,0.7552612163682351
20,0.7313468293429989
21,0.7813160220065637
22,0.6832361356014978
23,0.8597621086769146
24,0.4900233074163352
25,1.0000016033184722
26,0.0026463746462726838
27,0.14882420564967092
28,0.2961037844646405
29,0.6350618146138093
30,0.7683138505063339
31,0.6797255349043261
32,0.8603663991646762
33,0.48742190721904205
34,0.9999303721833351
35,0.0021198123161349333
36,0.14691791855918132
37,0.291107941935796
38,0.6270247965982729
39,0.7742257493727777
40,0.6659269089403562
41,0.8789917529467424
42,0.4342809490684239
43,0.989753657734221
44,0.022072498048434683
45,0.21390109146418326
46,0.4514798628881054
47,0.797541820477741
48,0.5659119421344883
49,0.9673752762091831
50,0.13788564610065399
51,0.5574082681762436
52,0.7730943834427156
53,0.647240556281507
54,0.8992999331409034
55,0.3724154057600151
56,0.9520191810978329
57,0.1301355928284555
58,0.5323637433010401
59,0.7784106188276549
60,0.6293163968445398
61,0.9183506889483889
62,0.31157729669677453
63,0.8879073113660897
64,0.3036410126445299
65,0.8677111689078063
66,0.3555698739302311
67,0.9258614190000739
68,0.20687370439928737
69,0.7079280176320665
70,0.6532505081765482
71,0.8733820659173049
72,0.44549795241733564
73,0.9930820184554113
74,0.013779525647684792
75,0.1861365308162106
76,0.3888975163589784
77,0.752424660098304
78,0.635241797858168
79,0.905038861817586
80,0.3523820466363906
81,0.9336743544503532
82,0.18200053794887272
83,0.655441495038447
84,0.7132179872348661
85,0.7799305180786879
86,0.6805590447323964
87,0.8627897958704531
88,0.4814368359373094
89,0.999892419539702
90,0.0004595339693581131
91,0.14095028965366713
92,0.27529666276766596
93,0.6004302944481915
94,0.7907066275765482
95,0.6248816698515072
96,0.9260033416753227
97,0.2872366899873575
98,0.8548428282099385
99,0.3837296091803815
100,0.9487450966645027
101,0.14403572734925082
102,0.5677315390862594
103,0.7704824581657951
104,0.6553783373433061
105,0.8898318188764041
106,0.40145367990167263
107,0.9731631307425156
108,0.0691518784060227
109,0.3628787102598238
110,0.6937807025135194
111,0.7201690709307389
112,0.7807596427015577
113,0.680993425077846
114,0.8624833108613097
115,0.48235802410879464
116,0.9999349160202862
117,0.0005844548733260988
118,0.14141187864799118
119,0.27652769622931095
120,0.6025642399422839
121,0.7895597895380652
122,0.627885809294734
123,0.9229895162100525
124,0.29725003443638687
125,0.8689990059389339
126,0.3502766248705558
127,0.9205866038869741
128,0.22118572359500605
129,0.7358870189115817
130,0.6135721981371202
131,0.919028573282842
132,0.30483268594681207
133,0.8787375095879447
134,0.32663829320021964
135,0.895778169962333
136,0.2862027139242787
137,0.8441792524264372
138,0.40993414289658026
139,0.9653326600985515
140,0.09788026484409935
141,0.4466770103662584
142,0.7609058994779304
143,0.6371260253884105
144,0.9057764933458619
145,0.3508179624745104
146,0.9322080246179634
147,0.1860533354976422
148,0.6642377004651238
149,0.7045093290824457
150,0.7954523023000688
151,0.6462230871058345
152,0.9070597867420276
153,0.34983325756541594
154,0.9315215472161001
155,0.18786966420395354
156,0.6681329030273316
157,0.7004823862021525
158,0.8023943906499765
159,0.6302684395631817
160,0.9246765032157718
161,0.29287234377516236
162,0.863009276672482
163,0.36456404963731986
164,0.9336100874809241
165,0.1858536547350225
166,0.6642060125153687
167,0.704486171814343
168,0.7954763290276323
169,0.6461656968567947
170,0.9071261388122449
171,0.3496236983971529
172,0.9313125337343248
173,0.18844909309205748
174,0.6693735394836878
175,0.6991772530273346
176,0.8046128669195438
177,0.6250915915904373
178,0.9299907565098724
179,0.2751440266468429
180,0.8368942596952778
181,0.4242623390285439
182,0.9718867941500399
183,0.08029235896353305
184,0.396604163223132
185,0.726715793981286
186,0.6812385067630647
187,0.8459562980561064
188,0.5240828403508379
189,0.994695320511946
190,0.03167561957536404
191,0.24807541203692793
192,0.5207499945207515
193,0.8158116699321861
194,0.5468693353522632
195,0.9802350399732219
196,0.08875154087651259
197,0.4244141456188694
198,0.747528704179597
199,0.6545808761005079
200,0.8838176916032042
201,0.4177753841672812
202,0.9821891590191022
203,0.04332157604664161
204,0.2830837593209068
205,0.5835815433823206
206,0.803868492929892
207,0.5920224404810108
208,0.9549345309113775
209,0.18659833009267224
210,0.6722886935758107
211,0.6951034950673554
212,0.8111718331409391
213,0.6095154843027754
214,0.9447881218505446
215,0.22436617332693248
216,0.7495130495058028
217,0.5910674837899592
218,0.9392383288584742
219,0.2363073440485026
220,0.7711014929639733
221,0.5547608099113492
222,0.964079196565523
223,0.14547894354019011
224,0.5760266168619627
225,0.7667811597083182
226,0.6649263965580824
227,0.8779272529379472
228,0.4368483148939064
229,0.9906608041212305
230,0.019673158044973663
231,0.2059020746062303
232,0.43401282844446404
233,0.7876959441242486
234,0.581142204203034
235,0.9566510243798504
236,0.177759874489497
237,0.6525443330095073
238,0.7150932742228739
239,0.7762161494859203
240,0.6884572210315916
241,0.8513690159783609
242,0.512822743753726
243,0.9976233117215498
244,0.017942456436755627
245,0.20199904748202854
246,0.4251556762148143
247,0.7819144443934517
248,0.5901817740508601
249,0.9495190768638623
250,0.20349475940696102
251,0.7078368071143377
252,0.6523711136462625
253,0.8743026358333126
254,0.44278476575868997
255,0.9922286651868697
256,0.015962127138897067
257,0.19349833729889565
258,0.4060241961256945
259,0.7674881528101855
260,0.6125847925464631
261,0.9292923425672519
262,0.27352932736242325
263,0.8340491388804177
264,0.4305662245444418
265,0.9744127010387522
266,0.07366658982882747
267,0.37718319134797273
268,0.7086814802628055
269,0.7032317548413594
270,0.8106297023156007
271,0.6131520682945392
272,0.9417855717962754
273,0.23493916901950782
274,0.7692531729730846
275,0.55789613856157
276,0.9623111895343089
277,0.1522549368988227
278,0.5926443588832533
279,0.7590494078327019
280,0.6843420926083844
281,0.8516446359773289
282,0.5108989436605652
283,0.9978380068471973
284,0.016603609817508996
285,0.19741358478632592
286,0.4148188470779895
287,0.7744475956623059
288,0.6018329309269695
289,0.9394590201532362
290,0.2388462611021241
291,0.7759801762029594
292,0.5460458084714038
293,0.9685461231367768
294,0.12802141257694521
295,0.531671843983524
296,0.7779237113015439
297,0.6300707588487326
298,0.9175163370621335
299,0.31428700206015525
300,0.8913310316696297
301,0.29495760667979676
302,0.8561169628890355
303,0.382823319690705
304,0.9483550401972964
305,0.14501033545500797
306,0.5701112988621042
307,0.7696391709765871
308,0.657709307422684
309,0.8870038804512802
310,0.4099724507022226
311,0.9782053747209366
312,0.05461439527355594
