system,model_key,model,n_features,n_params,feature_rank,scaler,scope,washout,horizon,lookback,windowing,alpha,seed,nrmse,rmse,mae,mse,r2,smape,max_error
henon,ngrc,NG-RC,21,22,18,minmax,train,100,1,5,internal,1e-06,0,4.352210238889726e-06,1.1909788035454996e-06,8.898322469564568e-07,1.4184305104946698e-12,0.9999999999810583,0.0006528065937842101,3.267453115740615e-06
henon,esn,ESN,300,301,300,minmax,train,100,1,5,internal,1e-06,0,0.011331877774322905,0.003100959166216623,0.0025121382186852293,9.615947750542893e-06,0.9998715885461078,1.5233626903836501,0.008000842775472194
henon,elm,ELM,300,301,272,minmax,train,100,1,5,internal,1e-06,0,0.0004449894120204003,0.0001217709918475057,8.854012563207175e-05,1.48281744555253e-08,0.9999998019844232,0.06282206105830418,0.000533247720347324
henon,qrc_v4,QRC-v4,16,17,11,minmax,train,100,1,5,internal,1e-06,0,0.5407566487135306,0.14797761853030575,0.12003857230683329,0.02189737558590069,0.7075822468721112,28.309824578443184,0.4736618742697893
