seed,comparison,dm_stat,p
0,qrc6_vs_ngrc,6.528192394769961,3.980332865491606e-10
0,qrc6_vs_esn300,-9.987181081928956,7.666391235159211e-20
0,qrc6_vs_elm300,3.4010555147855,0.0007871606386114985
0,qrc6_vs_esnF96,-8.703685322389296,5.429840859086657e-16
0,qrc8_vs_ngrc,5.973550954869884,8.401598272738532e-09
0,qrc8_vs_esn300,-10.012930276757459,6.383843698552936e-20
0,qrc8_vs_elm300,2.976729979946184,0.00321411728735287
0,qrc8_vs_esnF128,-6.0977107637828185,4.3131778925297525e-09
1,qrc6_vs_ngrc,6.143246759128651,3.3696082088343863e-09
1,qrc6_vs_esn300,-10.018986465309123,6.114631649101404e-20
1,qrc6_vs_elm300,3.4141310096866695,0.0007520239995621509
1,qrc6_vs_esnF96,-7.385828692894018,2.541513521658263e-12
1,qrc8_vs_ngrc,6.43865839247325,6.592060483506443e-10
1,qrc8_vs_esn300,-10.066352697374972,4.363861618602245e-20
1,qrc8_vs_elm300,3.2665958402624513,0.001248921647893564
1,qrc8_vs_esnF128,-7.256019922668486,5.597221466147319e-12
2,qrc6_vs_ngrc,6.302640925744233,1.406154385146262e-09
2,qrc6_vs_esn300,-10.195903491199344,1.7291744877481473e-20
2,qrc6_vs_elm300,4.362915092335113,1.9130639867808e-05
2,qrc6_vs_esnF96,-9.04746137046904,5.333549058147994e-17
2,qrc8_vs_ngrc,7.053375001882889,1.8873642310171883e-11
2,qrc8_vs_esn300,-10.21845372016585,1.471166087442082e-20
2,qrc8_vs_elm300,4.564824870342239,8.017139378274767e-06
2,qrc8_vs_esnF128,-7.29847908869316,4.327336953631264e-12
3,qrc6_vs_ngrc,6.7194576670599435,1.3343997382930443e-10
3,qrc6_vs_esn300,-8.530528617112248,1.7184155236165082e-15
3,qrc6_vs_elm300,5.446786136012553,1.2769044375997288e-07
3,qrc6_vs_esnF96,-7.960051065229414,7.019871403879177e-14
3,qrc8_vs_ngrc,6.933404083592546,3.8372430661392266e-11
3,qrc8_vs_esn300,-8.556397237061065,1.4477729487220764e-15
3,qrc8_vs_elm300,5.240714319170084,3.524578394670358e-07
3,qrc8_vs_esnF128,-8.580158636921645,1.2366177296560724e-15
4,qrc6_vs_ngrc,7.69329242266718,3.791015958769895e-13
4,qrc6_vs_esn300,-7.3591648287479865,2.9910194115221255e-12
4,qrc6_vs_elm300,3.731136869220396,0.00023841319875430415
4,qrc6_vs_esnF96,-7.762178665973871,2.460162363901282e-13
4,qrc8_vs_ngrc,7.522052634042146,1.1000222984650877e-12
4,qrc8_vs_esn300,-7.354074319266115,3.085351666893997e-12
4,qrc8_vs_elm300,3.5307136913717554,0.000497490323436209
4,qrc8_vs_esnF128,-7.995877319304567,5.583522869279664e-14
