k,degree,nrmse,n_features
3,2,0.0427625529446031,10
3,3,0.043059468883908956,20
5,2,0.017856487908868894,21
5,3,0.01747564515238144,56
8,2,0.011795281148088968,45
8,3,0.012365624222365338,165
12,2,0.010850911295233433,91
12,3,0.013120405512156867,455
