model,seed,test_cap,test_cap_d15,r2_d1,r2_d5,r2_d10,r2_d15,r2_d20,r2_d30,r2_d40
dqrc4_tuned,0,10.787344275569149,9.720939975423674,0.9459565734724007,0.8391529384179699,0.5653665040379855,0.21750086055005868,0.041368352555105764,0.0028687844449696415,0.00021357640010898947
esn48_tuned,0,20.774336434168415,14.905476653574292,0.9999997749903411,0.999986455981956,0.99804261644185,0.9531807017023487,0.5789462936267543,0.020869824039858695,1.4337358575380466e-05
esn48_default,0,6.400538466072687,4.776230926317447,0.9201469916883785,0.35440936948203494,0.2170766734491651,0.13618387391570325,0.11850976078135109,0.05651216958188449,0.025587974992640584
dqrc4_tuned,1,5.810604264927734,5.734981227579638,0.9886972554401114,0.5754857359351476,0.09376208658544033,0.009348698537594105,0.0002109818557418171,0.0026380285836476586,0.0
esn48_tuned,1,23.879642002528318,14.970529151965124,0.9999999142514538,0.9999962113296681,0.9996302986559807,0.9861708981993086,0.7981903466441137,0.010538824934593552,0.0
esn48_default,1,7.954169477266229,5.473711801466493,0.9669004034188335,0.3637762640259014,0.23389946895505087,0.1844907921894985,0.16092071728541163,0.09322436361652348,0.04278799243244463
dqrc4_tuned,2,5.262603431187198,5.2186377491170335,0.9881086833118895,0.4722652077374457,0.09756632208047541,0.0018951303927945203,0.00039486411893687644,0.002229870002330701,0.0
esn48_tuned,2,20.211595528460116,14.93844262322531,0.9999998861174945,0.9999760486711852,0.9983671665307017,0.9730864970868777,0.6477554328876289,0.006736074274857533,3.9841385596161744e-05
esn48_default,2,6.782819113224452,5.111317024117188,0.9506952249916993,0.3487637128300961,0.22368555103870721,0.1421621578375107,0.11952873113620181,0.052170058543588416,0.032433505698998825
dqrc4_tuned,3,5.723716518052979,5.515223635498463,0.9512938489200566,0.6235274955269101,0.11085020238780585,0.04621246028369424,0.02037735425874592,0.0016028396180341594,0.0
esn48_tuned,3,21.759753021709205,14.939392640093155,0.9999998151488066,0.9999884725243485,0.9992895051176718,0.9751850568144625,0.7071399585367972,0.015147111251538673,0.0019785020718563777
esn48_default,3,7.183694311443571,5.031655146590241,0.9132675652112792,0.3448961315790739,0.22854614477852558,0.1731880290425312,0.1587456910138331,0.07275685029510987,0.031087928365316354
dqrc4_tuned,4,4.437846752647049,4.323595107399513,0.9842337890984719,0.35277518319580664,0.042696207049592136,0.0,0.0,0.02468241229322692,0.0005366800856724481
esn48_tuned,4,23.12934987062047,14.987716525012443,0.9999998917660173,0.9999925918340148,0.9998938097442519,0.9949039677112081,0.8845497670060797,0.0540615194920176,0.0005571700014808236
esn48_default,4,7.091558149910617,5.033463898323162,0.919790863240457,0.35185396800487434,0.23246105003502873,0.1745810609325559,0.15081367981267793,0.07210133817776262,0.02512219339545239
dqrc4_tuned,5,6.228140022510247,6.176542809992109,0.9845608757907772,0.6833354229373574,0.15128508814683364,0.0012285341130330101,0.0,0.0005779870263329685,0.0007528351965102003
esn48_tuned,5,22.56723419600975,14.970307041023888,0.9999999445495663,0.9999968848129055,0.9998940586175757,0.9808379768558901,0.855530379606176,0.02203973795271226,0.005902418067162331
esn48_default,5,7.45869587031285,5.228202551496551,0.9509792217739798,0.36080986491059863,0.23502705893317968,0.17089046171865752,0.14370807761150603,0.08093256750785531,0.034596335089718225
dqrc4_tuned,6,5.809223766736231,5.538368027823725,0.9386884414325825,0.46413695176862063,0.21658972750615996,0.07507332575964312,0.014732923009696005,0.022794042364817912,0.0011626910378177955
esn48_tuned,6,20.465963116333196,14.926747530723931,0.9999996273312203,0.9999649762759959,0.9969149236748559,0.9748353815307013,0.5886115477131956,0.008984500894751387,0.014604909627805635
esn48_default,6,6.438479233006662,4.537909807171246,0.8445212772811704,0.31516807319612244,0.21315691426697508,0.14384342938086697,0.12928774365233306,0.07691982248366137,0.020275898390481804
dqrc4_tuned,7,11.252801854485522,8.092425213810648,0.8484793019993152,0.7344669260041045,0.3203072939729593,0.25888890403094733,0.19805795516088234,0.1113749941391585,0.05962813151502338
esn48_tuned,7,23.130154508877904,14.966704705062421,0.9999999143075927,0.9999938123890968,0.9992689619543814,0.9867216155844499,0.8385938901879468,0.0379822619937068,0.0
esn48_default,7,7.286109574755558,5.088904384603569,0.9243133627756714,0.3592832059201398,0.22549377882101687,0.1660937316137354,0.13890669394148936,0.07523334717505374,0.030663444992980807
dqrc4_tuned,8,5.700671166319318,5.662265599446271,0.9745040304463336,0.6948161379071552,0.05397801667302564,0.0,0.0,0.002771662243752075,0.0012950188035405585
esn48_tuned,8,19.855693644764468,14.910107049527877,0.9999998164382544,0.9999836624473571,0.9989241277409061,0.9525465279137324,0.5415753663950915,0.012007776594038112,0.0
esn48_default,8,7.0883539255623855,4.978224524240796,0.9049894910056618,0.3491261645892394,0.23165666494689569,0.16276292655686506,0.1442911267475622,0.0880630110544263,0.02936452535510303
dqrc4_tuned,9,5.8512381453622915,5.713036889286649,0.977416351085558,0.47379736486888135,0.22483590157527836,0.039249844899870046,0.000643551307193817,0.011654156561303277,0.0012045033879693166
esn48_tuned,9,18.055570741367955,14.86420228007156,0.9999999160708997,0.9999940399410042,0.9992054104366245,0.9078779439248345,0.20898595976821607,0.006856056949812174,0.0
esn48_default,9,5.968454919767073,4.545370613630055,0.8757200984235048,0.3309984536105462,0.20597217566950263,0.14907660065623574,0.10930475835154696,0.04613631520840692,0.018036552795989494
elm48,0,4.0369178238897625,3.9997972481561295,0.9997026552609203,0.0011804564734591131,0.0,0.0,0.0,0.02220544517260055,0.005795642675113053
elm48,1,4.046023571740012,4.002497169263499,0.9996999109017535,2.671149456472679e-05,0.0,0.0,0.0,0.0028654699440663818,0.018668442808891097
elm48,2,4.060540370023545,4.0042434562437945,0.9999111522207004,0.0,0.0,0.0,0.0,0.009690801826249115,0.0070424950248417694
elm48,3,4.04470915516708,4.009564860986179,0.9998685429833918,0.0,0.0,0.0,0.0,0.012281891619242502,0.00802042381791636
elm48,4,4.046608775668969,4.002070909438621,0.9998592583764218,0.00012282751138986225,6.056596255127388e-05,0.0,0.0,0.006115871807538549,0.006620385598873895
elm48,5,4.029054296904795,4.000038839553158,0.9997685509905758,0.0003237858122659467,0.0,0.0,0.0,0.004152023747521792,0.008791681893765448
elm48,6,4.057312398686953,3.998265400062884,0.9996558685505185,0.0,0.0,0.0,0.0,0.023536395237760174,0.017286701165290155
elm48,7,4.050140496864517,4.014534051813654,0.9996805282920654,0.007054352049110488,0.0,0.0,0.0,0.018535588991363025,0.002531639404198823
elm48,8,4.043917877228013,4.001228771775932,0.9998545406610853,0.0,0.0,0.0,0.0,0.005831790054015673,0.008628955648784594
elm48,9,4.028873383679049,4.005152353900648,0.9999057069928645,0.0,0.0,0.0,0.0,0.0016160522148160911,0.003062818032056227
