model,memory_capacity,r2_d1,r2_d2,r2_d3,r2_d4,r2_d5,r2_d6,r2_d7,r2_d8,r2_d9,r2_d10,r2_d11,r2_d12,r2_d13,r2_d14,r2_d15
dqrc4_g0.05,6.286775008449024,0.9941614730941385,0.9759891755384439,0.9338058621652102,0.8943437549521397,0.8141365035712204,0.6716548247834231,0.5465046739773478,0.303568950582838,0.1122134340366559,0.029392278260276756,0.007587571202293047,0.0034165062850378515,0.0,0.0,0.0
dqrc4_g0,9.080894610793145,0.9324593506113121,0.9143744691771057,0.8757485767308308,0.845827506238566,0.8308801657661508,0.7329939163124164,0.709977167161829,0.5851480424328923,0.6128877941901203,0.4915626170922731,0.3797160373365872,0.2970663702349971,0.33347400761717566,0.32138164394163743,0.21739694594925266
esnF,4.776230926317447,0.9201469916883785,0.5760096336969311,0.44013762495598524,0.35532932155966057,0.35440936948203494,0.30190438808849973,0.27734968417169753,0.2629956854252363,0.22009735834495692,0.2170766734491651,0.17939660741438448,0.18282108372554298,0.1860239265710829,0.16634870382818867,0.13618387391570325
elmF,3.9997972481561295,0.9997026552609203,0.9997858042276193,0.9996687857130367,0.9994595464810939,0.0011804564734591131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
