system,n_qubits_eq,model,seed,nrmse,n_features,n_points,n_qubits,V,window,shots,readout,ngrc_degree
lorenz,4,ngrc,17,0.0018550941268273865,56,1500,,,5,,,3
lorenz,4,ngrc,18,0.0018550941268273865,56,1500,,,5,,,3
lorenz,4,ngrc,19,0.0018550941268273865,56,1500,,,5,,,3
lorenz,4,elmF,0,0.0012968937837630205,64,1500,,,5,,,
lorenz,4,elmF,1,0.0029053553281014077,64,1500,,,5,,,
lorenz,4,elmF,2,0.00251215129160829,64,1500,,,5,,,
lorenz,4,elmF,3,0.002322569240755002,64,1500,,,5,,,
lorenz,4,elmF,4,0.002258004307753075,64,1500,,,5,,,
lorenz,4,elmF,5,0.00167812128788009,64,1500,,,5,,,
lorenz,4,elmF,6,0.001920511351067265,64,1500,,,5,,,
lorenz,4,elmF,7,0.0020665082133712992,64,1500,,,5,,,
lorenz,4,elmF,8,0.0015020394843233615,64,1500,,,5,,,
lorenz,4,elmF,9,0.0019753841332052755,64,1500,,,5,,,
lorenz,4,elmF,10,0.0014332427903458022,64,1500,,,5,,,
lorenz,4,elmF,11,0.0019849268005082995,64,1500,,,5,,,
lorenz,4,elmF,12,0.0014246845141596095,64,1500,,,5,,,
lorenz,4,elmF,13,0.0024386347633423193,64,1500,,,5,,,
lorenz,4,elmF,14,0.0026538672028290963,64,1500,,,5,,,
lorenz,4,elmF,15,0.0016974862044136748,64,1500,,,5,,,
lorenz,4,elmF,16,0.0018993483302634858,64,1500,,,5,,,
lorenz,4,elmF,17,0.0023719102866824444,64,1500,,,5,,,
lorenz,4,elmF,18,0.001635446661058237,64,1500,,,5,,,
lorenz,4,elmF,19,0.002159093331850625,64,1500,,,5,,,
lorenz,4,esnF,0,0.10060987654006102,64,1500,,,5,,,
lorenz,4,esnF,1,0.11140002685513226,64,1500,,,5,,,
lorenz,4,esnF,2,0.09375393996242172,64,1500,,,5,,,
lorenz,4,esnF,3,0.12522119669140186,64,1500,,,5,,,
lorenz,4,esnF,4,0.12658087395322265,64,1500,,,5,,,
lorenz,4,esnF,5,0.08701995570940937,64,1500,,,5,,,
lorenz,4,esnF,6,0.10403087711946266,64,1500,,,5,,,
lorenz,4,esnF,7,0.09909963549978064,64,1500,,,5,,,
lorenz,4,esnF,8,0.09068943769214975,64,1500,,,5,,,
lorenz,4,esnF,9,0.09797109611405351,64,1500,,,5,,,
lorenz,4,esnF,10,0.07992886440874197,64,1500,,,5,,,
lorenz,4,esnF,11,0.12484490417349345,64,1500,,,5,,,
lorenz,4,esnF,12,0.10805004232755266,64,1500,,,5,,,
lorenz,4,esnF,13,0.10176821957953139,64,1500,,,5,,,
lorenz,4,esnF,14,0.05030044293042738,64,1500,,,5,,,
lorenz,4,esnF,15,0.08798809688374369,64,1500,,,5,,,
lorenz,4,esnF,16,0.1109722319582087,64,1500,,,5,,,
lorenz,4,esnF,17,0.10227738557873844,64,1500,,,5,,,
lorenz,4,esnF,18,0.07816579546937408,64,1500,,,5,,,
lorenz,4,esnF,19,0.09446695911432096,64,1500,,,5,,,
lorenz,4,qrc,0,0.012294798823763357,64,1500,4,4,5,exact,Z+X+Y+ZZ,
lorenz,4,qrc,1,0.014301373931955281,64,1500,4,4,5,exact,Z+X+Y+ZZ,
lorenz,4,qrc,2,0.013245544561966202,64,1500,4,4,5,exact,Z+X+Y+ZZ,
lorenz,4,qrc,3,0.013917242422023898,64,1500,4,4,5,exact,Z+X+Y+ZZ,
lorenz,4,qrc,4,0.010731423040350883,64,1500,4,4,5,exact,Z+X+Y+ZZ,
lorenz,4,qrc,5,0.013966862419837443,64,1500,4,4,5,exact,Z+X+Y+ZZ,
lorenz,4,qrc,6,0.022193467085832697,64,1500,4,4,5,exact,Z+X+Y+ZZ,
lorenz,4,qrc,7,0.015585273788096328,64,1500,4,4,5,exact,Z+X+Y+ZZ,
lorenz,4,qrc,8,0.013022235932022789,64,1500,4,4,5,exact,Z+X+Y+ZZ,
lorenz,4,qrc,9,0.011546426391345548,64,1500,4,4,5,exact,Z+X+Y+ZZ,
mackeyglass,4,ngrc,0,0.0022945731514897754,21,1500,,,5,,,2
mackeyglass,4,ngrc,1,0.0022945731514897754,21,1500,,,5,,,2
mackeyglass,4,ngrc,2,0.0022945731514897754,21,1500,,,5,,,2
mackeyglass,4,ngrc,3,0.0022945731514897754,21,1500,,,5,,,2
mackeyglass,4,ngrc,4,0.0022945731514897754,21,1500,,,5,,,2
mackeyglass,4,ngrc,5,0.0022945731514897754,21,1500,,,5,,,2
mackeyglass,4,ngrc,6,0.0022945731514897754,21,1500,,,5,,,2
mackeyglass,4,ngrc,7,0.0022945731514897754,21,1500,,,5,,,2
mackeyglass,4,ngrc,8,0.0022945731514897754,21,1500,,,5,,,2
mackeyglass,4,ngrc,9,0.0022945731514897754,21,1500,,,5,,,2
mackeyglass,4,ngrc,10,0.0022945731514897754,21,1500,,,5,,,2
mackeyglass,4,ngrc,11,0.0022945731514897754,21,1500,,,5,,,2
mackeyglass,4,ngrc,12,0.0022945731514897754,21,1500,,,5,,,2
mackeyglass,4,ngrc,13,0.0022945731514897754,21,1500,,,5,,,2
mackeyglass,4,ngrc,14,0.0022945731514897754,21,1500,,,5,,,2
mackeyglass,4,ngrc,15,0.0022945731514897754,21,1500,,,5,,,2
mackeyglass,4,ngrc,16,0.0022945731514897754,21,1500,,,5,,,2
mackeyglass,4,ngrc,17,0.0022945731514897754,21,1500,,,5,,,2
mackeyglass,4,ngrc,18,0.0022945731514897754,21,1500,,,5,,,2
mackeyglass,4,ngrc,19,0.0022945731514897754,21,1500,,,5,,,2
mackeyglass,4,elmF,0,0.002101144709151838,64,1500,,,5,,,
mackeyglass,4,elmF,1,0.0020280077985479973,64,1500,,,5,,,
mackeyglass,4,elmF,2,0.002049621803906831,64,1500,,,5,,,
mackeyglass,4,elmF,3,0.002112716422676716,64,1500,,,5,,,
mackeyglass,4,elmF,4,0.0020091356976313876,64,1500,,,5,,,
mackeyglass,4,elmF,5,0.001978529659506062,64,1500,,,5,,,
mackeyglass,4,elmF,6,0.002065325378546185,64,1500,,,5,,,
mackeyglass,4,elmF,7,0.002115996348357565,64,1500,,,5,,,
