system,n,comparison,seed,dm_stat,p
henon,8,qrc_vs_ngrc,7,10.074253950970363,4.1248413647281566e-20
henon,8,qrc_vs_esnF,8,-10.034071792207955,5.492142004115787e-20
henon,8,qrc_vs_elmF,8,9.878332818539784,1.658838050044088e-19
henon,8,qrc_vs_ngrc,8,10.171391038918017,2.060898747606441e-20
henon,8,qrc_vs_esnF,9,-10.234877408680328,1.3077186339788953e-20
henon,8,qrc_vs_elmF,9,9.777607582704334,3.3782490938110624e-19
henon,8,qrc_vs_ngrc,9,10.154266996276464,2.3294877402211545e-20
henon,10,qrc_vs_esnF,0,-8.590758714581458,4.1656577923677165e-14
henon,10,qrc_vs_elmF,0,5.260226721128743,6.511618498591489e-07
henon,10,qrc_vs_ngrc,0,7.535399318212579,1.0856585284377702e-11
henon,10,qrc_vs_esnF,1,-8.359555391815192,1.4312508278119563e-13
henon,10,qrc_vs_elmF,1,7.374611355448156,2.4868158915435055e-11
henon,10,qrc_vs_ngrc,1,7.582731393872941,8.496843272831907e-12
henon,10,qrc_vs_esnF,2,-8.034820428440582,7.99390126946459e-13
henon,10,qrc_vs_elmF,2,7.12598320504516,8.851285279806785e-11
henon,10,qrc_vs_ngrc,2,7.559439013639904,9.586530850236425e-12
henon,10,qrc_vs_esnF,3,-8.112563466474985,5.303820012955787e-13
henon,10,qrc_vs_elmF,3,7.098649989954116,1.0167398864696511e-10
henon,10,qrc_vs_ngrc,3,7.617641493363969,7.089597780320417e-12
henon,10,qrc_vs_esnF,4,-8.149842494793504,4.3550896164411463e-13
henon,10,qrc_vs_elmF,4,7.289892788795366,3.8393265781182585e-11
henon,10,qrc_vs_ngrc,4,7.549688176394052,1.0082868233512276e-11
henon,12,qrc_vs_esnF,0,-8.414028954503966,1.0708081184563875e-13
henon,12,qrc_vs_elmF,0,7.124391701249443,8.923064986825793e-11
henon,12,qrc_vs_ngrc,0,7.527323660500009,1.1319620676819496e-11
henon,12,qrc_vs_esnF,1,-7.924074553744735,1.4314420471663015e-12
henon,12,qrc_vs_elmF,1,7.546529190749811,1.0249069939971189e-11
henon,12,qrc_vs_ngrc,1,8.05247381307726,7.283504651241001e-13
lorenz,4,qrc_vs_esnF,0,-11.437319886227819,2.341243378529517e-25
lorenz,4,qrc_vs_elmF,0,9.221661732389682,5.5125900007011276e-18
lorenz,4,qrc_vs_ngrc,0,9.16756317787468,8.157795465272269e-18
lorenz,4,qrc_vs_esnF,1,-9.425468356629407,1.2454946219260921e-18
lorenz,4,qrc_vs_elmF,1,9.240648478506627,4.802732976432579e-18
lorenz,4,qrc_vs_ngrc,1,9.504065764304796,6.986237998470478e-19
lorenz,4,qrc_vs_esnF,2,-13.531119718075914,7.555460913742656e-33
lorenz,4,qrc_vs_elmF,2,8.388064322049896,2.0031069133877483e-15
lorenz,4,qrc_vs_ngrc,2,8.541397702532961,6.936674713145919e-16
lorenz,4,qrc_vs_esnF,3,-9.855426352241482,5.115452479493819e-20
lorenz,4,qrc_vs_elmF,3,9.223276587782255,5.448368033008921e-18
lorenz,4,qrc_vs_ngrc,3,9.337952290224305,2.3640427743430606e-18
lorenz,4,qrc_vs_esnF,4,-12.862345371577433,2.0453791707089234e-30
lorenz,4,qrc_vs_elmF,4,7.6572430249213035,2.670443916875074e-13
lorenz,4,qrc_vs_ngrc,4,7.6765784559665695,2.354663696363472e-13
lorenz,4,qrc_vs_esnF,5,-12.209610507852746,4.484497024458301e-28
lorenz,4,qrc_vs_elmF,5,9.947843459665524,2.552001897200098e-20
lorenz,4,qrc_vs_ngrc,5,9.936389224536512,2.7821822841155507e-20
lorenz,4,qrc_vs_esnF,6,-12.851514260729536,2.2382301196380872e-30
lorenz,4,qrc_vs_elmF,6,11.302082167443166,6.897814407344975e-25
lorenz,4,qrc_vs_ngrc,6,11.29880993777033,7.080101147022169e-25
lorenz,4,qrc_vs_esnF,7,-10.718919109492125,6.865038447773808e-23
lorenz,4,qrc_vs_elmF,7,9.816979248006435,6.825226944045878e-20
lorenz,4,qrc_vs_ngrc,7,9.879260059379531,4.2769168650982233e-20
lorenz,4,qrc_vs_esnF,8,-10.44666922792721,5.675713412677305e-22
lorenz,4,qrc_vs_elmF,8,9.559905940673154,4.625915129905047e-19
lorenz,4,qrc_vs_ngrc,8,9.552335744350259,4.892176641235541e-19
lorenz,4,qrc_vs_esnF,9,-14.851936374992821,9.973116043402723e-38
lorenz,4,qrc_vs_elmF,9,8.909261214321088,5.2092518055697684e-17
lorenz,4,qrc_vs_ngrc,9,9.049792657854141,1.9065897620510848e-17
lorenz,6,qrc_vs_esnF,0,-10.662499354677871,1.065608205872036e-22
lorenz,6,qrc_vs_elmF,0,8.688947012891198,2.474059113310072e-16
lorenz,6,qrc_vs_ngrc,0,8.635850910514629,3.589545275406458e-16
lorenz,6,qrc_vs_esnF,1,-11.341422701191771,5.039901665959779e-25
lorenz,6,qrc_vs_elmF,1,12.397546843142228,9.582358610935542e-29
lorenz,6,qrc_vs_ngrc,1,12.38015813419317,1.1056558043680666e-28
lorenz,6,qrc_vs_esnF,2,-13.20957313389748,1.1263524738653957e-31
lorenz,6,qrc_vs_elmF,2,9.772053746677834,9.553153868792169e-20
lorenz,6,qrc_vs_ngrc,2,9.795681578316216,8.00545532711992e-20
lorenz,6,qrc_vs_esnF,3,-11.481810789794068,1.6391051348082323e-25
lorenz,6,qrc_vs_elmF,3,9.325070718970828,2.5972012393886272e-18
lorenz,6,qrc_vs_ngrc,3,9.345071147031062,2.244228975180129e-18
lorenz,6,qrc_vs_esnF,4,-14.379224052623465,5.682175742320117e-36
lorenz,6,qrc_vs_elmF,4,8.636493039038767,3.57345348112563e-16
lorenz,6,qrc_vs_ngrc,4,8.681733005713278,2.602576134514575e-16
lorenz,6,qrc_vs_esnF,5,-13.22745773693258,9.695912144215686e-32
lorenz,6,qrc_vs_elmF,5,9.997538866823025,1.7535685243210474e-20
lorenz,6,qrc_vs_ngrc,5,9.985790773896055,1.9163797880486604e-20
lorenz,6,qrc_vs_esnF,6,-12.361273510476982,1.2914673667279664e-28
lorenz,6,qrc_vs_elmF,6,11.941733830674911,3.9930884343068805e-27
lorenz,6,qrc_vs_ngrc,6,11.925465033619076,4.557780150772895e-27
lorenz,6,qrc_vs_esnF,7,-13.824311515347187,6.34947004272212e-34
lorenz,6,qrc_vs_elmF,7,9.390165445047232,1.6135160233985324e-18
lorenz,6,qrc_vs_ngrc,7,9.373577490779855,1.821905999803402e-18
