model_key,model_name,group,kind,deterministic,system,seed,cfg_system,cfg_n_points,cfg_seed,cfg_scaler,cfg_scaler_scope,cfg_split_fracs,cfg_washout,cfg_horizon,cfg_lookback,cfg_stride,cfg_windowing,cfg_alpha,cfg_encode_scale,status,n_features,n_params,feature_rank,n_train,n_test,nrmse,rmse,mae,mse,r2,smape,max_error
arima,ARIMA,statistical,ARIMA,True,henon,1,henon,1500,1,minmax,train,"(0.6, 0.2, 0.2)",100,1,1,1,internal,1e-06,1.0,ok,2,5.0,,800,299,0.9286426685097443,0.26925254075278765,0.22564508260284286,0.07249693070183158,0.13762279422310097,46.15418626293441,0.6891067090373096
arima,ARIMA,statistical,ARIMA,True,henon,2,henon,1500,2,minmax,train,"(0.6, 0.2, 0.2)",100,1,1,1,internal,1e-06,1.0,ok,2,5.0,,800,299,0.9286426685097443,0.26925254075278765,0.22564508260284286,0.07249693070183158,0.13762279422310097,46.15418626293441,0.6891067090373096
arima,ARIMA,statistical,ARIMA,True,henon,3,henon,1500,3,minmax,train,"(0.6, 0.2, 0.2)",100,1,1,1,internal,1e-06,1.0,ok,2,5.0,,800,299,0.9286426685097443,0.26925254075278765,0.22564508260284286,0.07249693070183158,0.13762279422310097,46.15418626293441,0.6891067090373096
arima,ARIMA,statistical,ARIMA,True,henon,4,henon,1500,4,minmax,train,"(0.6, 0.2, 0.2)",100,1,1,1,internal,1e-06,1.0,ok,2,5.0,,800,299,0.9286426685097443,0.26925254075278765,0.22564508260284286,0.07249693070183158,0.13762279422310097,46.15418626293441,0.6891067090373096
arima,ARIMA,statistical,ARIMA,True,lorenz,0,lorenz,1500,0,minmax,train,"(0.6, 0.2, 0.2)",100,1,1,1,internal,1e-06,1.0,ok,2,5.0,,800,299,0.07985572448711305,0.017132137120927933,0.014104101459372756,0.0002935101223302769,0.9936230632666383,7.300249078625056,0.05879624630151459
arima,ARIMA,statistical,ARIMA,True,lorenz,1,lorenz,1500,1,minmax,train,"(0.6, 0.2, 0.2)",100,1,1,1,internal,1e-06,1.0,ok,2,5.0,,800,299,0.07985572448711305,0.017132137120927933,0.014104101459372756,0.0002935101223302769,0.9936230632666383,7.300249078625056,0.05879624630151459
arima,ARIMA,statistical,ARIMA,True,lorenz,2,lorenz,1500,2,minmax,train,"(0.6, 0.2, 0.2)",100,1,1,1,internal,1e-06,1.0,ok,2,5.0,,800,299,0.07985572448711305,0.017132137120927933,0.014104101459372756,0.0002935101223302769,0.9936230632666383,7.300249078625056,0.05879624630151459
arima,ARIMA,statistical,ARIMA,True,lorenz,3,lorenz,1500,3,minmax,train,"(0.6, 0.2, 0.2)",100,1,1,1,internal,1e-06,1.0,ok,2,5.0,,800,299,0.07985572448711305,0.017132137120927933,0.014104101459372756,0.0002935101223302769,0.9936230632666383,7.300249078625056,0.05879624630151459
arima,ARIMA,statistical,ARIMA,True,lorenz,4,lorenz,1500,4,minmax,train,"(0.6, 0.2, 0.2)",100,1,1,1,internal,1e-06,1.0,ok,2,5.0,,800,299,0.07985572448711305,0.017132137120927933,0.014104101459372756,0.0002935101223302769,0.9936230632666383,7.300249078625056,0.05879624630151459
arima,ARIMA,statistical,ARIMA,True,mackeyglass,0,mackeyglass,1500,0,minmax,train,"(0.6, 0.2, 0.2)",100,1,1,1,internal,1e-06,1.0,ok,2,5.0,,800,299,0.015043363816074651,0.0034963083291476072,0.0028583743946683717,1.2224171932466933e-05,0.9997736972050972,0.7873197849809043,0.007897352086353338
arima,ARIMA,statistical,ARIMA,True,mackeyglass,1,mackeyglass,1500,1,minmax,train,"(0.6, 0.2, 0.2)",100,1,1,1,internal,1e-06,1.0,ok,2,5.0,,800,299,0.015043363816074651,0.0034963083291476072,0.0028583743946683717,1.2224171932466933e-05,0.9997736972050972,0.7873197849809043,0.007897352086353338
arima,ARIMA,statistical,ARIMA,True,mackeyglass,2,mackeyglass,1500,2,minmax,train,"(0.6, 0.2, 0.2)",100,1,1,1,internal,1e-06,1.0,ok,2,5.0,,800,299,0.015043363816074651,0.0034963083291476072,0.0028583743946683717,1.2224171932466933e-05,0.9997736972050972,0.7873197849809043,0.007897352086353338
arima,ARIMA,statistical,ARIMA,True,mackeyglass,3,mackeyglass,1500,3,minmax,train,"(0.6, 0.2, 0.2)",100,1,1,1,internal,1e-06,1.0,ok,2,5.0,,800,299,0.015043363816074651,0.0034963083291476072,0.0028583743946683717,1.2224171932466933e-05,0.9997736972050972,0.7873197849809043,0.007897352086353338
