pipeline,nrmse_qrc_v4,nrmse_qrc_v6,nrmse_qrc_rich,maximin,mean,variance
standard|a=1e-06|none|e=1,0.5187240549433838,0.5133051640155103,0.035835024388380925,0.5187240549433838,0.35595474778242503,0.05124321271608767
standard|a=0.0001|none|e=1,0.5187237683626734,0.5490840615714849,0.04887388050785302,0.5490840615714849,0.3722272368140038,0.052432321084513754
standard|a=1e-06|none|e=2,0.5667819774707872,0.5328344017037132,0.1520961393593268,0.5667819774707872,0.41723750617794236,0.03534204518263204
standard|a=0.0001|none|e=2,0.5667821751780866,0.5522491331604155,0.19039260520454104,0.5667821751780866,0.436474637847681,0.030313384946604276
minmax|a=1e-06|none|e=1,0.5898422618012266,0.28894117795785684,0.00446101562113695,0.5898422618012266,0.2944148184600735,0.0571268476000662
minmax|a=0.0001|none|e=1,0.5898591595533246,0.35629179057827304,0.004582953514625648,0.5898591595533246,0.3169113012154078,0.057866784363738294
minmax|a=1e-06|leaky0.1|e=1,0.6428432300619541,0.33435161233906,0.0081825572819227,0.6428432300619541,0.32845913322764564,0.06714972225063957
minmax|a=0.0001|leaky0.1|e=1,0.6428986164735734,0.40584724246526394,0.013674171822173268,0.6428986164735734,0.3541400102536702,0.06732405255596897
standard|a=1e-06|leaky0.1|e=2,0.6366007843599287,0.666770380848681,0.21391091217701963,0.666770380848681,0.5057606924618764,0.04273984788487529
minmax|a=1e-06|none|e=2,0.6783222385384112,0.3622696170342386,0.01515216439988258,0.6783222385384112,0.35191467332417753,0.07335270363510286
minmax|a=0.0001|none|e=2,0.6783230203267453,0.41527674421176114,0.01787089514147011,0.6783230203267453,0.37049021989332553,0.07370241799055398
standard|a=1e-06|leaky0.1|e=1,0.6857735260428743,0.693771900998991,0.04777738418208552,0.693771900998991,0.47577427040798353,0.09160132964318862
standard|a=0.0001|leaky0.1|e=2,0.6366007349993515,0.7120894187370949,0.2432947906042429,0.7120894187370949,0.5306616481135631,0.04223961229280048
minmax|a=1e-06|leaky0.1|e=2,0.7263042260416306,0.6469373470547889,0.021960422270042832,0.7263042260416306,0.46506733178882076,0.09922171687832655
minmax|a=0.0001|leaky0.1|e=2,0.7262902470229164,0.7459505034319557,0.034249199468892245,0.7459505034319557,0.5021633166412548,0.10953623147160722
standard|a=0.0001|leaky0.1|e=1,0.6857760031452772,0.7478664411487119,0.05838250029808692,0.7478664411487119,0.49734164819735865,0.0969851038441371
