model,vpt_lyap_mean,spectral_mse_mean,wasserstein_mean,diverged_runs
ngrc,15.05486610035913,0.6318522583792009,0.01189518848140256,0
elm,9.757783583566104,0.63878859578602,0.010043366820814897,0
random_forest,8.642608316872836,0.9270842321843348,0.013079571355681135,0
qrc_rich,3.3168555266301603,0.6962084989186752,0.018355361961188033,0
esn,3.2061288917431483,0.6161099458941884,0.01569778277123016,0
qrc_v6,2.7640462721918,4.742050432451772,2.9618805397467214,2
linear,0.0,6.830988193204502,0.23788711236755555,0
