key,model,axis,ratio_swing
qrc_v6,QRC-v6,encoding,1.9847896315474196
qrc_rich,QRC-rich,scaler,8.032929590873723
qrc_rich,QRC-rich,scope,1.0008011642941892
qrc_rich,QRC-rich,split,1.0638551213356344
qrc_rich,QRC-rich,washout,1.0045623615036607
qrc_rich,QRC-rich,horizon,221.8557401807065
qrc_rich,QRC-rich,lookback,49.63847837376172
qrc_rich,QRC-rich,postprocess,2.881498718862249
qrc_rich,QRC-rich,alpha,78.97062094456005
qrc_rich,QRC-rich,encoding,24.527942849298967
