model,nrmse_mean,nrmse_std
NG-RC (explicit quadratic),2.3841759566420115e-07,0.0
ELM + quadratic (poly2),4.684231226519636e-05,2.6226997843726644e-06
ELM (linear readout),0.00014322809704475832,1.3021224442804902e-05
QRC-rich (quantum quadratic),0.0011108780842628,4.290507553720055e-05
ESN + quadratic (poly2),0.004978699790689329,0.0002709889198723595
ESN (linear readout),0.0067251386898704284,0.00017714339712635277
