rank,key,model,group,nrmse_mean,nrmse_std,rmse_mean,mae_mean,r2_mean,n_features,n_params
1,krr,KernelRidge,ml,0.0019701249865392936,0.0,0.0005535002801795043,0.0004161720717716245,0.9999961186075375,4,
2,extra_trees,ExtraTrees,ml,0.0029450662020571996,4.4017538980396334e-05,0.0008274068798291123,0.0005481650162626532,0.9999913246475218,4,
3,elastic_net,ElasticNet,ml,0.8745191335501389,1.1102230246251565e-16,0.24569333862041498,0.20381522783134987,0.2352162850547146,4,5.0
4,theta,Theta,statistical,1.002438954509277,0.0,0.2816320010023221,0.23859642501362685,-0.00488385751765219,0,3.0
