readout,has_ZZ,n_features,nrmse_mean,nrmse_std
Z,False,24,0.2706064005808444,0.02986287703557932
Z+X+Y,False,72,0.004548592037502255,5.731131815966354e-05
Z+X+Y+ZZ,True,96,0.004431221545069176,6.95835773846198e-05
