system,model,seed,nrmse,n_features,n_points
lorenz,elm,10,0.0006294039897028715,300,1500
lorenz,elm,11,0.0007892429907155848,300,1500
lorenz,elm,12,0.0006540827939867808,300,1500
lorenz,elm,13,0.0005840284320824901,300,1500
lorenz,elm,14,0.000588259513904248,300,1500
lorenz,elm,15,0.0007172652468930601,300,1500
lorenz,elm,16,0.0005817301785077256,300,1500
lorenz,elm,17,0.0007161134612997102,300,1500
lorenz,elm,18,0.0005877613269476251,300,1500
lorenz,elm,19,0.0006795995973554027,300,1500
mackeyglass,ngrc,0,0.0022945731514897754,21,1500
mackeyglass,esn,0,0.006617679517904208,300,1500
mackeyglass,esn,1,0.007496407308509974,300,1500
mackeyglass,esn,2,0.007400990624714064,300,1500
mackeyglass,esn,3,0.007495062083251882,300,1500
mackeyglass,esn,4,0.006973344344862624,300,1500
mackeyglass,esn,5,0.006770097160755315,300,1500
mackeyglass,esn,6,0.0065046835057216345,300,1500
mackeyglass,esn,7,0.007126785147945184,300,1500
mackeyglass,esn,8,0.006927063611518423,300,1500
mackeyglass,esn,9,0.00703156463747396,300,1500
mackeyglass,esn,10,0.0076376226161461586,300,1500
mackeyglass,esn,11,0.0072423810735079246,300,1500
mackeyglass,esn,12,0.007113453371316823,300,1500
mackeyglass,esn,13,0.007491911278156541,300,1500
mackeyglass,esn,14,0.00662564937199729,300,1500
mackeyglass,esn,15,0.006883945704414014,300,1500
mackeyglass,esn,16,0.006718677995933459,300,1500
mackeyglass,esn,17,0.007161638976756127,300,1500
mackeyglass,esn,18,0.007428085581996831,300,1500
mackeyglass,esn,19,0.0069850641364627266,300,1500
mackeyglass,esn_tuned,0,0.000982986490772864,300,1500
mackeyglass,esn_tuned,1,0.0007695401587381991,300,1500
mackeyglass,esn_tuned,2,0.0008507781712321558,300,1500
mackeyglass,esn_tuned,3,0.000772533569357621,300,1500
mackeyglass,esn_tuned,4,0.0007654740449631292,300,1500
mackeyglass,esn_tuned,5,0.0006964618691705068,300,1500
mackeyglass,esn_tuned,6,0.0006172680077008701,300,1500
