quantum_model,F,nrmse_quantum,nrmse_esn_matched,quantum_better,ratio_esn_over_quantum
QRC-v4,16,0.5898422618012266,0.07723851230380434,False,0.13094774197416406
QRC-v6,24,0.28894117795785684,0.055885743681883364,False,0.1934156428545969
QRC-rich,96,0.00446101562113695,0.021758758408693176,True,4.877534681922424
