system,spectral_radius,leak_rate,seed,nrmse,budget_note
lorenz,1.3,1.0,2,0.16908284063272566,14 configs/system == the quantum encoding-tune budget
lorenz,1.5,0.3,0,116.88013818087414,14 configs/system == the quantum encoding-tune budget
lorenz,1.5,0.3,1,2.548735016470909,14 configs/system == the quantum encoding-tune budget
lorenz,1.5,0.3,2,27.44244840963668,14 configs/system == the quantum encoding-tune budget
lorenz,1.5,1.0,0,0.44135112502221774,14 configs/system == the quantum encoding-tune budget
lorenz,1.5,1.0,1,0.3276087263981935,14 configs/system == the quantum encoding-tune budget
lorenz,1.5,1.0,2,0.37423551226739044,14 configs/system == the quantum encoding-tune budget
lorenz,1.7,0.3,0,48.31971562034406,14 configs/system == the quantum encoding-tune budget
lorenz,1.7,0.3,1,5.1040018032882015,14 configs/system == the quantum encoding-tune budget
lorenz,1.7,0.3,2,38.25445340405499,14 configs/system == the quantum encoding-tune budget
lorenz,1.7,1.0,0,0.6159861874515089,14 configs/system == the quantum encoding-tune budget
lorenz,1.7,1.0,1,0.5696335706396075,14 configs/system == the quantum encoding-tune budget
lorenz,1.7,1.0,2,0.4804757092107114,14 configs/system == the quantum encoding-tune budget
lorenz,1.9,0.3,0,16.86592369512087,14 configs/system == the quantum encoding-tune budget
lorenz,1.9,0.3,1,10.538141946801188,14 configs/system == the quantum encoding-tune budget
lorenz,1.9,0.3,2,21.51104158819617,14 configs/system == the quantum encoding-tune budget
lorenz,1.9,1.0,0,0.7153848491880145,14 configs/system == the quantum encoding-tune budget
lorenz,1.9,1.0,1,0.6908192450689237,14 configs/system == the quantum encoding-tune budget
lorenz,1.9,1.0,2,0.6233948117426457,14 configs/system == the quantum encoding-tune budget
mackeyglass,0.7,0.3,0,0.00992220645296547,14 configs/system == the quantum encoding-tune budget
mackeyglass,0.7,0.3,1,0.0103015683545845,14 configs/system == the quantum encoding-tune budget
mackeyglass,0.7,0.3,2,0.010712665346932555,14 configs/system == the quantum encoding-tune budget
mackeyglass,0.7,1.0,0,0.0013855038401417905,14 configs/system == the quantum encoding-tune budget
mackeyglass,0.7,1.0,1,0.0014830694950992863,14 configs/system == the quantum encoding-tune budget
mackeyglass,0.7,1.0,2,0.001616820532236999,14 configs/system == the quantum encoding-tune budget
mackeyglass,0.9,0.3,0,0.006617679517904208,14 configs/system == the quantum encoding-tune budget
mackeyglass,0.9,0.3,1,0.007496407308509974,14 configs/system == the quantum encoding-tune budget
mackeyglass,0.9,0.3,2,0.007400990624714064,14 configs/system == the quantum encoding-tune budget
mackeyglass,0.9,1.0,0,0.0009155043398176121,14 configs/system == the quantum encoding-tune budget
