experiment,system,n,V,model,readout,seed,nrmse,n_features,n_points
readout,henon,8,4,qrc,poly2int,2,4.160488184763293e-05,8384,1200
readout,henon,8,4,qrc,poly2int,3,4.192073652401983e-05,8384,1200
readout,henon,8,4,qrc,poly2int,4,4.373178414674907e-05,8384,1200
readout,henon,8,4,elmF,poly2int,0,4.367205752119191e-05,8384,1200
readout,henon,8,4,elmF,poly2int,1,3.5088444958316815e-05,8384,1200
readout,henon,8,4,elmF,poly2int,2,4.216259269595069e-05,8384,1200
readout,henon,8,4,elmF,poly2int,3,4.230760715653216e-05,8384,1200
readout,henon,8,4,elmF,poly2int,4,3.8983675650961316e-05,8384,1200
readout,henon,8,4,qrc,delay3,0,0.003927183593680658,384,1200
readout,henon,8,4,qrc,delay3,1,0.004224612516265307,384,1200
readout,henon,8,4,qrc,delay3,2,0.0036005201786708275,384,1200
readout,henon,8,4,qrc,delay3,3,0.003491836816799864,384,1200
readout,henon,8,4,qrc,delay3,4,0.0034136067698436914,384,1200
readout,henon,8,4,elmF,delay3,0,0.0007439922170759296,384,1200
readout,henon,8,4,elmF,delay3,1,0.0003818867094935573,384,1200
readout,henon,8,4,elmF,delay3,2,0.0005363405181939374,384,1200
readout,henon,8,4,elmF,delay3,3,0.00047155405163269357,384,1200
readout,henon,8,4,elmF,delay3,4,0.0004078280030009299,384,1200
readout,henon,8,4,qrc,delay3+poly2,0,0.0018481409093893044,768,1200
readout,henon,8,4,qrc,delay3+poly2,1,0.0022905766519199515,768,1200
readout,henon,8,4,qrc,delay3+poly2,2,0.00154679129246843,768,1200
readout,henon,8,4,qrc,delay3+poly2,3,0.001492701063029914,768,1200
readout,henon,8,4,qrc,delay3+poly2,4,0.0013095326405936146,768,1200
readout,henon,8,4,elmF,delay3+poly2,0,0.0002061957588586882,768,1200
readout,henon,8,4,elmF,delay3+poly2,1,0.00015075700259998574,768,1200
readout,henon,8,4,elmF,delay3+poly2,2,0.00015614759544538466,768,1200
readout,henon,8,4,elmF,delay3+poly2,3,0.0002197309448899407,768,1200
readout,henon,8,4,elmF,delay3+poly2,4,0.0002620806731773527,768,1200
readout,henon,8,4,ngrc,base,0,2.153442572971573e-06,21,1200
readout,henon,8,4,ngrc,base,1,2.153442572971573e-06,21,1200
readout,henon,8,4,ngrc,base,2,2.153442572971573e-06,21,1200
readout,henon,8,4,ngrc,base,3,2.153442572971573e-06,21,1200
readout,henon,8,4,ngrc,base,4,2.153442572971573e-06,21,1200
readout,lorenz,6,4,qrc,base,0,0.01327462181321126,96,1500
readout,lorenz,6,4,qrc,base,1,0.02547991976453791,96,1500
readout,lorenz,6,4,qrc,base,2,0.016617888865756113,96,1500
readout,lorenz,6,4,qrc,base,3,0.013611677896165325,96,1500
readout,lorenz,6,4,qrc,base,4,0.011721513611702815,96,1500
readout,lorenz,6,4,elmF,base,0,0.0012875339316352431,96,1500
readout,lorenz,6,4,elmF,base,1,0.0011456805711253187,96,1500
readout,lorenz,6,4,elmF,base,2,0.0019463460068099797,96,1500
readout,lorenz,6,4,elmF,base,3,0.0017822918164724464,96,1500
readout,lorenz,6,4,elmF,base,4,0.0017445997042213417,96,1500
readout,lorenz,6,4,qrc,poly2sq,0,0.0028536458819516312,192,1500
readout,lorenz,6,4,qrc,poly2sq,1,0.005930310567424228,192,1500
readout,lorenz,6,4,qrc,poly2sq,2,0.0026878283008182798,192,1500
readout,lorenz,6,4,qrc,poly2sq,3,0.002994851967292742,192,1500
readout,lorenz,6,4,qrc,poly2sq,4,0.0027366252411546014,192,1500
readout,lorenz,6,4,elmF,poly2sq,0,0.0005867446706448744,192,1500
readout,lorenz,6,4,elmF,poly2sq,1,0.0006029881550752958,192,1500
readout,lorenz,6,4,elmF,poly2sq,2,0.0006673607952850059,192,1500
readout,lorenz,6,4,elmF,poly2sq,3,0.0007634364568037369,192,1500
readout,lorenz,6,4,elmF,poly2sq,4,0.0007914681817594019,192,1500
readout,lorenz,6,4,qrc,poly2int,0,0.001049746752966938,4752,1500
readout,lorenz,6,4,qrc,poly2int,1,0.0010783944100164272,4752,1500
readout,lorenz,6,4,qrc,poly2int,2,0.0009253297641182332,4752,1500
readout,lorenz,6,4,qrc,poly2int,3,0.0009960811397073848,4752,1500
readout,lorenz,6,4,qrc,poly2int,4,0.0008373772356015712,4752,1500
readout,lorenz,6,4,elmF,poly2int,0,0.00013529082711719354,4752,1500
readout,lorenz,6,4,elmF,poly2int,1,0.0001091598565501313,4752,1500
readout,lorenz,6,4,elmF,poly2int,2,0.0001264175848774681,4752,1500
readout,lorenz,6,4,elmF,poly2int,3,0.00016300558113176803,4752,1500
